ID,Year,Make,MakeSeries,Segment,4Region,9Region,Cluster,YNV_GLB_16,Not Consider Other Makes,Not Consider Other Segments,OVC_US_2C1_1,OVC_US_2C1_2,OVC_US_2C1_3,OVC_US_2C1_4,OVC_US_2C1_5,OVC_US_2C1_6,OVC_US_2C1_7,OVC_US_2C1_8,OVC_US_2C1_9,OVC_US_2C1_10,OVC_US_2C1_11,OVC_US_2C1_12,OVC_US_2C1_13,OVC_US_2C1_14,OVC_US_2C1_15,OVC_US_2C1_16,OVC_US_2C1_17,OVC_US_2C1_18,OVC_US_2C1_19,OVC_US_2C1_20,Cus_BrandExp,Advertising,Audio,Bluetooth,Camera,Comfort,Dealer,Disappointed,DQR,Economy,Engine,Exterior,Features,Handling,Heated Seats / Strg,Interior,Maintenance,Navigation,Performance,Price,Quietness,Ride,Roominess,Safety,Seats,Styling,Transmission,Trunk,Wheel,Had Exterior Problem,Had DEXP Problem,Had FCD Problem,Had AEN Problem,Had Seat Problem,Had HVAC Problem,Had INT Problem,Had ENG Problem,Had Problem,Had Severe Problem,Had Very Severe Problem,Taken to Dealer,Problem Fixed,APEAL_Index,EXT_Index,INT_Index,SS_Index,AEN_Index,Seats_Index,HVAC_Index,DD_Index,ENGTRN_Index,VDS_Index,FUEL_Index,APEAL_OSAT
B76A575M,2015,Mazda,Mazda MAZDA3,Compact Car,West,Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.676780999,0.575381743,0.75038615,0.851655188,0.922859244,0.585374537,0.547788112,0.519025875,0.858925219,0.565143486,1,0.888888889
B735922J,2015,Hyundai,Hyundai Elantra,Compact Car,West,Pacific,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.766206874,1,0.888888889,0.888891357,0.888805246,0.444444444,0.888888889,0.705840527,0.705684987,0.888888889,0.777777778,0.777777778
B745652Q,2015,Kia,Kia Forte,Compact Car,South,West South Central,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.993332356,1,1,1,0.97756852,0.966671556,1,1,1,1,1,1
B863A4AB,2015,Hyundai,Hyundai Elantra,Compact Car,Northeast,Middle Atlantic,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.395847347,0.583061057,0.683705926,0.518040435,0.585572489,0.539422276,0.45072285,0.539290515,0.436856314,0.528180515,0.333333333,0.666666667
B78444AJ,2015,Toyota,Toyota Prius,Compact Car,West,Pacific,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.829612531,0.969660599,0.961751731,0.925127749,0.644444306,0.913858052,0.866431088,0.786332478,0.813351998,0.83771034,0.949222222,0.888888889
B78A2B9E,2015,Subaru,Subaru WRX,Compact Car,West,Mountain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.999960772,1,1,0.999777827,0.999905902,1,1,1,1,1,1,1
B78BA34D,2015,Subaru,Subaru WRX,Compact Car,West,Pacific,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.589488847,0.779789291,0.722483359,0.626416352,0.680898752,0.758042471,0.639441722,0.664089147,0.795287138,0.796342588,0.273,0.888888889
B79226AJ,2015,Volkswagen,Volkswagen Golf,Compact Car,West,Pacific,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0.374096915,0.725448423,0.586491983,0.362298267,0.662789458,0.552766166,0.483970619,0.581664834,0.413347554,0.422568854,0.171444444,0.555555556
B792B26L,2015,Volkswagen,Volkswagen Golf,Compact Car,West,Pacific,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.571969523,0.774466004,0.854729917,0.621784048,0.350424508,0.584385994,0.623351224,0.827472808,0.567687676,0.796298148,0.666666667,1
B79B7A58,2015,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,East North Central,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.695037531,0.744860083,0.74968608,0.733736947,0.668644099,0.756694447,0.714749253,0.801386528,0.816796098,0.751302648,0.777777778,0.777777778
