ID,Year,Make,MakeSeries,Segment,4Region,9Region,Cluster,YNV_GLB_16,Not Consider Other Makes,Not Consider Other Segments,OVC_US_2C1_1,OVC_US_2C1_2,OVC_US_2C1_3,OVC_US_2C1_4,OVC_US_2C1_5,OVC_US_2C1_6,OVC_US_2C1_7,OVC_US_2C1_8,OVC_US_2C1_9,OVC_US_2C1_10,OVC_US_2C1_11,OVC_US_2C1_12,OVC_US_2C1_13,OVC_US_2C1_14,OVC_US_2C1_15,OVC_US_2C1_16,OVC_US_2C1_17,OVC_US_2C1_18,OVC_US_2C1_19,OVC_US_2C1_20,Cus_BrandExp,Advertising,Audio,Bluetooth,Camera,Comfort,Dealer,Disappointed,DQR,Economy,Engine,Exterior,Features,Handling,Heated Seats / Strg,Interior,Maintenance,Navigation,Performance,Price,Quietness,Ride,Roominess,Safety,Seats,Styling,Transmission,Trunk,Wheel,Had Exterior Problem,Had DEXP Problem,Had FCD Problem,Had AEN Problem,Had Seat Problem,Had HVAC Problem,Had INT Problem,Had ENG Problem,Had Problem,Had Severe Problem,Had Very Severe Problem,Taken to Dealer,Problem Fixed,APEAL_Index,EXT_Index,INT_Index,SS_Index,AEN_Index,Seats_Index,HVAC_Index,DD_Index,ENGTRN_Index,VDS_Index,FUEL_Index,APEAL_OSAT
23BA695M,2016,Ford,Ford Escape,Compact SUV,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
2442649M,2016,Ford,Ford Escape,Compact SUV,,,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
2442789R,2016,Ford,Ford Escape,Compact SUV,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
24428A25,2016,Ford,Ford Escape,Compact SUV,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
2442955M,2016,Ford,Ford Escape,Compact SUV,,,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
23B9785Z,2016,GMC,GMC Terrain,Compact SUV,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
23BA72AD,2016,Ford,Ford Escape,Compact SUV,,,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
2295A77A,2016,Chevrolet,Chevrolet Equinox,Compact SUV,,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
2295BA54,2016,Chevrolet,Chevrolet Equinox,Compact SUV,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
23759629,2016,Toyota,Toyota RAV4,Compact SUV,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.689077641,0.823505168,0.750532963,0.717596192,0.715493842,0.723399284,0.684270861,0.731802254,0.735870799,0.721954533,0.715850548,0.833326898
