Respondent,First New,Type of Sale,Marital Status,Education,Race,Ownership,Age Group,Trim Level,Previous Model,Miles / Day,Drive-City,Drive-Highway,Drive-Rural,Income Group
1020275510,0,0,Married,College graduate,White,Short,4,3,0,Low,1,0,0,"$100,001-$150,000"
1020279531,0,0,Married,Some college,White,Short,4,2,1,Very High,0,0,0,"$100,001-$150,000"
1020309724,0,0,Married,High school graduate or less,White,Long,6,2,0,Medium,1,1,0,"$50,001-$75,000"
1020373449,1,0,Married,High school graduate or less,White,Long,4,2,1,Medium,0,0,1,"$75,001-$100,000"
1020390580,0,0,Married,Post graduate study/degree,White,Medium,5,2,0,Low,0,0,1,"$100,001-$150,000"
1020413688,0,0,Married,College graduate,White,Long,3,3,1,Medium,1,0,0,"$200,001-$250,000"
1020460996,0,0,Married,Post graduate study/degree,Asian,Long,3,3,0,Low,1,0,0,"$100,001-$150,000"
1020466501,0,1,Married,Post graduate study/degree,White,Short,3,2,1,Medium,0,1,0,"$150,001-$200,000"
1020506716,0,0,Married,College graduate,White,Medium,3,2,0,Medium,1,0,0,"$100,001-$150,000"
1020534418,0,0,Married,Some college,White,Long,4,2,1,Medium,0,1,0,"$150,001-$200,000"
1020534469,1,0,Married,College graduate,White,Long,3,2,1,High,0,1,0,"$100,001-$150,000"
1020595956,0,0,Married,Post graduate study/degree,White,Long,5,3,1,Low,1,0,0,"$100,001-$150,000"
1020605692,0,0,Married,High school graduate or less,White,Long,6,3,1,Low,1,1,1,"$50,001-$75,000"
1020640498,0,0,Married,High school graduate or less,White,Long,6,3,0,Medium,1,1,0,"$50,001-$75,000"
1020657021,0,1,Married,Some college,White,Medium,6,2,0,Medium,0,1,0,"$100,001-$150,000"
1020674864,0,2,Married,Post graduate study/degree,White,Medium,6,2,0,Medium,0,0,1,"$100,001-$150,000"
1020708335,0,2,Married,High school graduate or less,White,Medium,6,2,0,Medium,1,0,0,"$30,000-$50,000"
1020796692,0,0,Married,Post graduate study/degree,White,Medium,5,2,1,Low,0,0,1,"$75,001-$100,000"
1020800380,0,0,Married,Some college,White,Long,6,2,1,Medium,0,0,1,"$75,001-$100,000"
1020800533,0,0,Married,College graduate,Asian,Long,2,2,0,Low,1,1,1,"$30,000-$50,000"
1020811250,0,0,Married,Some college,White,Short,5,3,0,Medium,1,0,0,"$100,001-$150,000"
1020813627,0,0,Married,College graduate,White,Long,3,0,1,Low,0,0,1,"$100,001-$150,000"
1020832583,0,0,Married,Some college,White,Long,3,2,0,Medium,1,1,0,"$150,001-$200,000"
1020846061,0,0,Married,College graduate,White,Medium,4,2,1,Low,0,0,1,"$100,001-$150,000"
1020871236,0,0,Married,College graduate,White,Short,3,3,1,Low,1,1,0,"$100,001-$150,000"
1020872992,0,0,Married,Some college,White,Long,4,3,1,Low,0,0,1,"$75,001-$100,000"
1020885474,0,0,Married,High school graduate or less,White,Long,4,2,1,High,0,0,1,"$100,001-$150,000"
1020888422,0,0,Married,High school graduate or less,White,Short,6,3,0,Low,1,0,0,"$50,001-$75,000"
1020936419,0,0,Single/Not Married,Some college,White,Short,3,1,0,Low,1,0,0,"$75,001-$100,000"
1020940874,0,0,Married,Post graduate study/degree,White,Long,6,2,1,Medium,1,1,0,"$200,001-$250,000"
1020984537,0,0,Married,Post graduate study/degree,White,Medium,6,3,1,Medium,0,1,0,"$150,001-$200,000"
1021005621,0,0,Married,Post graduate study/degree,White,Medium,4,3,0,High,1,0,0,"$100,001-$150,000"
1021304475,0,0,Living With Sig Oth/Dom Prtnr,Post graduate study/degree,White,Medium,6,2,0,Medium,1,1,0,"$100,001-$150,000"
1021306974,0,0,Married,College graduate,Hispanic,Long,5,2,1,Low,1,0,0,"$100,001-$150,000"
1021420114,0,0,Divorced/Widowed/Separated,Some college,White,Short,6,2,0,Medium,0,0,1,"$50,001-$75,000"
1021426627,0,1,Living With Sig Oth/Dom Prtnr,College graduate,White,Short,3,2,1,Medium,0,0,1,"$100,001-$150,000"
1021503796,0,0,Married,College graduate,White,Long,6,0,0,Low,1,0,0,"$50,001-$75,000"
1023048115,0,0,Married,High school graduate or less,White,Short,4,2,1,Low,1,0,0,"$100,001-$150,000"
1023103027,0,1,Married,Some college,White,Short,4,1,0,High,0,0,1,"$75,001-$100,000"
1023108380,0,0,Married,College graduate,White,Long,4,3,1,Medium,1,0,0,"$300,000+"
1023113260,0,1,Married,Some college,White,Medium,4,2,0,Low,1,0,0,"$75,001-$100,000"
1023115793,0,0,Married,High school graduate or less,White,Long,5,3,1,Low,0,0,1,"$50,001-$75,000"
1023123168,0,0,Married,College graduate,White,Long,3,3,1,Low,1,0,0,"$75,001-$100,000"
1023136014,0,0,Married,College graduate,White,Medium,2,3,1,Low,1,0,0,"$150,001-$200,000"
1023181796,0,1,Divorced/Widowed/Separated,College graduate,White,Medium,4,0,0,Low,1,0,0,"$50,001-$75,000"
1023183829,0,0,Married,Some college,White,Long,4,2,1,High,0,1,0,"$50,001-$75,000"
1023191902,0,0,Married,College graduate,White,Long,4,0,0,High,0,1,1,"$100,001-$150,000"
1023192437,1,1,Single/Not Married,High school graduate or less,Hispanic,Long,2,1,0,Low,0,1,0,"$30,000-$50,000"
1023194529,0,0,Married,Post graduate study/degree,White,Medium,3,3,1,Medium,0,0,1,"$200,001-$250,000"
1023208244,0,0,Married,Post graduate study/degree,White,Medium,4,3,1,High,0,1,0,"$100,001-$150,000"
1023209593,0,0,Married,College graduate,White,Long,5,2,1,Low,1,0,0,"$100,001-$150,000"
1023211873,0,0,Married,College graduate,Hispanic,Long,3,2,1,Low,1,0,0,"$100,001-$150,000"
1023228547,0,1,Single/Not Married,College graduate,White,Medium,2,2,0,Low,1,0,0,"$75,001-$100,000"
1023236957,1,0,Married,College graduate,White,Long,2,2,1,Low,1,0,0,"$200,001-$250,000"
1023238011,0,0,Living With Sig Oth/Dom Prtnr,Some college,White,Short,4,1,0,High,0,1,0,"$50,001-$75,000"
1023260718,0,1,Married,Post graduate study/degree,White,Long,3,1,0,Low,1,0,0,"$75,001-$100,000"
1023266120,0,1,Married,Some college,Other,Short,2,2,1,Low,1,0,0,"$100,001-$150,000"
1023277254,0,0,Married,College graduate,White,Long,5,3,1,Medium,0,0,1,"$200,001-$250,000"
1023279796,0,0,Married,College graduate,White,Short,3,2,0,Medium,0,0,1,"$200,001-$250,000"
1023289074,0,1,Married,College graduate,White,Medium,3,2,0,Medium,0,1,0,"$150,001-$200,000"
1023291443,0,0,Married,College graduate,Hispanic,Medium,4,3,1,Medium,0,1,0,"$300,000+"
1023292300,0,1,Single/Not Married,College graduate,Hispanic,Medium,3,2,0,Medium,1,1,0,"$100,001-$150,000"
1023297239,0,1,Married,Post graduate study/degree,Asian,Medium,6,1,0,Low,1,0,0,"$150,001-$200,000"
1023302097,1,1,Married,High school graduate or less,White,Long,2,0,1,Medium,1,0,0,"$75,001-$100,000"
1023304103,0,1,Married,Some college,White,Medium,5,0,0,Low,0,0,1,"$75,001-$100,000"
1023306890,0,1,Married,Some college,White,Long,6,0,1,Medium,0,0,1,"$75,001-$100,000"
1023307838,0,0,Married,Post graduate study/degree,White,Long,5,2,1,Medium,1,0,0,"$250,001-$299,999"
1023320117,0,0,Divorced/Widowed/Separated,College graduate,White,Short,5,1,1,Medium,1,0,0,"$75,001-$100,000"
1023322160,0,0,Married,College graduate,White,Short,5,2,0,Medium,0,0,1,"$75,001-$100,000"
1023326522,1,0,Married,College graduate,African-American/Black,Long,3,1,1,Medium,0,0,0,"$50,001-$75,000"
1023327677,0,0,Married,Post graduate study/degree,White,Medium,4,3,1,High,1,1,0,"$250,001-$299,999"
1023339454,0,0,Married,College graduate,White,Short,3,1,1,Medium,1,1,0,"$75,001-$100,000"
1023340258,1,0,Married,College graduate,Hispanic,Long,2,1,1,Medium,1,0,0,"$50,001-$75,000"
1023354577,0,1,Married,Post graduate study/degree,White,Medium,6,2,0,Low,0,0,1,"$75,001-$100,000"
1023356391,0,0,Single/Not Married,College graduate,White,Medium,4,3,0,Medium,0,1,0,"$50,001-$75,000"
1023382317,0,0,Married,College graduate,White,Long,3,0,1,Medium,0,0,1,"$75,001-$100,000"
1023396857,0,0,Married,Post graduate study/degree,White,Long,3,2,1,High,1,0,0,"$150,001-$200,000"
1023408006,0,0,Married,High school graduate or less,Hispanic,Long,3,0,1,Medium,1,0,0,"$30,000-$50,000"
1023411112,1,2,Married,College graduate,White,Long,2,2,1,Medium,1,0,0,"$150,001-$200,000"
1023413476,0,0,Married,College graduate,White,Medium,3,0,1,Low,0,1,0,"$50,001-$75,000"
1023427302,0,1,Married,Post graduate study/degree,White,Long,3,2,1,High,1,1,1,"$150,001-$200,000"
1023438584,0,0,Married,College graduate,White,Short,3,2,1,Low,1,1,1,"$200,001-$250,000"
1023447680,0,0,Married,Some college,White,Long,2,3,1,High,1,1,0,"$150,001-$200,000"
1023451262,0,2,Married,Some college,White,Medium,3,1,1,Low,1,0,0,"$75,001-$100,000"
1023460822,0,2,Married,Some college,White,Medium,2,1,1,Low,0,0,1,"$30,000-$50,000"
1023485841,0,0,Single/Not Married,Post graduate study/degree,African-American/Black,Short,3,2,0,Low,1,0,0,"$30,000-$50,000"
1023488352,0,0,Married,Post graduate study/degree,White,Medium,6,1,0,Medium,0,0,1,"$100,001-$150,000"
1023509180,1,0,Married,High school graduate or less,White,Long,2,1,1,Medium,1,0,0,"$75,001-$100,000"
