Respondent,First New,Type of Sale,Marital Status,Education,Race,Ownership,Age Group,Trim Level,Previous Model,Miles / Day,Drive-City,Drive-Highway,Drive-Rural,Income Group
1016451449,1,0,Married,College graduate,White,Long,3,1,1,Low,1,0,1,"$100,001-$150,000"
1016478207,0,0,Married,Post graduate study/degree,White,Long,2,2,1,Medium,1,1,0,"$100,001-$150,000"
1016480112,0,0,Married,Post graduate study/degree,White,Long,5,2,1,Low,1,0,0,"$100,001-$150,000"
1016482484,0,0,Married,Post graduate study/degree,White,Medium,6,2,1,Medium,1,1,0,"$100,001-$150,000"
1016493338,0,0,Married,College graduate,White,Medium,4,2,1,Low,1,0,0,"$150,001-$200,000"
1016509927,0,0,Married,Post graduate study/degree,White,Long,5,1,0,Low,1,0,0,"$250,001-$299,999"
1016512162,0,2,Single/Not Married,Post graduate study/degree,White,Long,3,1,1,Low,1,0,0,"$50,001-$75,000"
1016517687,0,0,Single/Not Married,Some college,White,Long,2,2,1,Low,1,0,0,"$50,001-$75,000"
1016519981,0,0,Married,College graduate,White,Long,3,2,1,Low,1,0,0,"$100,001-$150,000"
1016521366,1,0,Living With Sig Oth/Dom Prtnr,High school graduate or less,White,Long,5,1,1,Low,0,1,0,"Under $30,000"
1016523288,1,0,Single/Not Married,College graduate,White,Long,1,1,1,High,1,0,0,"$100,001-$150,000"
1016530659,0,0,Single/Not Married,Post graduate study/degree,White,Long,5,1,1,High,1,1,0,"$50,001-$75,000"
1016531604,0,0,Married,College graduate,White,Medium,4,2,1,Medium,0,1,0,"$100,001-$150,000"
1016538790,1,0,Living With Sig Oth/Dom Prtnr,College graduate,Hispanic,Long,1,2,1,Low,1,0,0,"$30,000-$50,000"
1016538960,0,0,Married,College graduate,White,Short,5,2,0,Medium,1,0,0,"$50,001-$75,000"
1016569350,0,0,Married,High school graduate or less,Other,Long,4,2,0,High,0,1,0,"$100,001-$150,000"
1016593901,0,0,Married,High school graduate or less,Native American,Long,5,1,0,Low,1,1,0,"$75,001-$100,000"
