Respondent,First New,Type of Sale,Marriage Status,Education Level,Race,Ownership,Age,Grade,Previous Model,Miles / Day,City Driving,Highway Driving,Rural Driving,Income Group
1027348407,0,Buy,Single/Not Married,Some college,White,Medium,3,SV,1,Low,1,0,0,"Under $30,000"
1027464091,0,Buy,Divorced/Widowed/Separated,College graduate,White,Long,4,SL,1,Medium,1,0,0,"$75,001-$100,000"
1027466990,0,Buy,Married,College graduate,White,Long,4,SR,1,High,1,0,0,"$150,001-$200,000"
1027607330,0,Buy,Single/Not Married,Post graduate study/degree,African-American/Black,Medium,3,SR,0,Low,1,0,0,"$30,000-$50,000"
1027612295,0,Buy,Married,College graduate,Hispanic,Long,2,SR,1,Low,0,1,0,"$75,001-$100,000"
1027614875,1,Buy,Single/Not Married,Some college,African-American/Black,Long,2,SV,0,Medium,1,1,0,"$30,000-$50,000"
1027616819,1,Buy,Single/Not Married,College graduate,African-American/Black,Medium,1,S,1,Low,1,0,0,"$30,000-$50,000"
1027787664,0,Buy,Married,Some college,Asian,Long,4,SR,1,Low,1,0,0,"Under $30,000"
1027790436,1,Buy,Single/Not Married,College graduate,Pref not to answer,Long,3,SR,0,High,1,1,0,"$50,001-$75,000"
1027791718,0,Buy,Single/Not Married,College graduate,White,Long,2,SV,0,Low,0,1,0,"$30,000-$50,000"
1027795667,1,Buy,Divorced/Widowed/Separated,High school graduate or less,Hispanic,Long,3,S,1,Medium,1,1,0,"Under $30,000"
1027795730,0,Buy,Divorced/Widowed/Separated,High school graduate or less,White,Medium,5,SR,0,High,0,1,1,"$50,001-$75,000"
1027797171,1,Buy,Living With Sig Oth/Dom Prtnr,Some college,Hispanic,Long,1,S,1,Low,1,0,0,"Under $30,000"
1027798330,0,Buy,Married,College graduate,White,Long,4,S,0,Low,1,0,0,"$50,001-$75,000"
1027798356,0,Buy,Single/Not Married,High school graduate or less,White,Long,4,SV,1,Low,1,0,0,"$30,000-$50,000"
1027800946,0,Buy,Living With Sig Oth/Dom Prtnr,Post graduate study/degree,White,Medium,2,SL,1,High,1,1,0,"$75,001-$100,000"
1027989747,0,Buy,Divorced/Widowed/Separated,Some college,White,Short,5,SR,1,Medium,0,1,0,"$30,000-$50,000"
1029065887,1,Buy,Single/Not Married,College graduate,African-American/Black,Long,3,S,1,Low,1,0,0,"$30,000-$50,000"
1029066999,0,Buy,Married,Some college,Hispanic,Long,2,SV,1,Low,1,1,0,"Under $30,000"
1029067049,1,Buy,Living With Sig Oth/Dom Prtnr,Some college,African-American/Black,Long,1,S,1,Medium,1,1,0,"$30,000-$50,000"
1029068940,0,Buy,Married,Some college,White,Medium,5,SV,0,Low,1,0,0,"$50,001-$75,000"
1029072620,0,Buy,Married,High school graduate or less,African-American/Black,Short,3,S,1,Low,1,1,0,"$30,000-$50,000"
1029203546,0,Buy,Married,High school graduate or less,Hispanic,Long,6,S,0,Low,0,0,1,"$30,000-$50,000"
1029204291,0,Buy,Divorced/Widowed/Separated,College graduate,White,Medium,4,SV,0,Medium,0,0,1,"$50,001-$75,000"
1029205107,0,Buy,Married,Some college,White,Long,6,S,1,Low,0,0,1,"Under $30,000"
1029206588,1,Lease,Married,Some college,Pref not to answer,Long,4,SR,1,Medium,0,1,0,"$75,001-$100,000"
1029208254,0,Buy,Married,College graduate,Hispanic,Long,3,SV,0,High,0,1,0,"$100,001-$150,000"
1029209951,1,Buy,Single/Not Married,College graduate,Hispanic,Long,2,S,0,Low,1,0,0,"$30,000-$50,000"
1029210712,0,Buy,Married,High school graduate or less,White,Medium,6,SR,1,Medium,1,0,1,"$30,000-$50,000"
1029210739,1,Buy,Married,Some college,White,Long,2,S,1,High,0,0,1,"$30,000-$50,000"
1029211441,1,Buy,Single/Not Married,High school graduate or less,Hispanic,Long,2,S,1,Medium,1,0,0,"$30,000-$50,000"
1029318564,0,Special,Married,Some college,White,Short,3,SR,0,Low,1,0,0,"$30,000-$50,000"
1029320828,1,Buy,Single/Not Married,College graduate,African-American/Black,Medium,2,S,0,Medium,1,0,0,"Under $30,000"
1029322901,0,Buy,Married,College graduate,White,Long,4,S,1,High,0,0,1,"$50,001-$75,000"
1029323878,0,Buy,Single/Not Married,College graduate,African-American/Black,Long,5,SR,1,Low,1,0,0,"$50,001-$75,000"
1029324190,0,Buy,Married,College graduate,White,Long,5,SV,0,Low,1,0,0,"$30,000-$50,000"
1029325129,0,Buy,Married,College graduate,Pref not to answer,Medium,6,SL,1,Medium,0,1,1,"$30,000-$50,000"
1029326214,1,Buy,Single/Not Married,Some college,African-American/Black,Long,2,SL,1,Medium,1,1,0,"$50,001-$75,000"
1029327300,0,Buy,Married,Some college,White,Medium,6,SV,1,High,1,1,0,"$30,000-$50,000"
1029408946,1,Buy,Living With Sig Oth/Dom Prtnr,High school graduate or less,White,Medium,1,S,1,Low,1,1,0,"$30,000-$50,000"
1029450101,1,Buy,Married,Some college,White,Long,3,SR,0,Medium,1,0,0,"$50,001-$75,000"
1029450748,1,Buy,Single/Not Married,Some college,African-American/Black,Long,3,SR,1,Low,1,0,0,"$30,000-$50,000"
1029450837,1,Buy,Single/Not Married,Some college,Other,Long,1,SL,1,Medium,0,1,0,"$30,000-$50,000"
1029452414,0,Buy,Divorced/Widowed/Separated,High school graduate or less,White,Medium,5,SV,0,Medium,0,0,1,"$30,000-$50,000"
1029452430,1,Buy,Married,Post graduate study/degree,White,Long,2,SV,1,High,0,1,0,"$30,000-$50,000"
