,0,ID,Mileage,Age,Drive-City,Drive-Highway,Drive-Rural,First New,Gender,Income,Education,Conquest,Consumer Reports,Knowledgeable,Fuel Grade,Grade,Marital Status_Divorced/Widowed/Separated,Marital Status_Living With Sig Oth/Dom Prtnr,Marital Status_Married,Marital Status_Single/Not Married
0,5,56771,1,48,0,0,1,0,0,3,4,1,0,0,1,1,0.0,0.0,1.0,0.0
1,0,30187,2,59,0,1,0,0,1,5,5,1,0,0,1,3,0.0,0.0,1.0,0.0
2,4,58981,2,61,0,1,0,0,1,2,2,1,0,0,1,1,1.0,0.0,0.0,0.0
3,6,8412,2,71,0,0,1,0,0,3,3,1,0,0,1,3,0.0,0.0,1.0,0.0
4,1,53174,2,46,1,1,1,1,1,2,4,0,0,0,2,1,0.0,0.0,1.0,0.0
5,5,8347,2,52,1,0,0,0,1,5,5,0,0,0,1,3,0.0,0.0,1.0,0.0
6,1,10140,2,40,1,1,0,0,0,5,5,0,0,0,1,3,0.0,0.0,1.0,0.0
7,2,34837,2,74,1,1,0,0,0,3,3,1,0,0,1,3,0.0,0.0,1.0,0.0
8,0,15180,1,59,0,1,0,0,1,3,2,1,0,0,1,3,0.0,0.0,0.0,1.0
9,7,58185,1,32,1,0,0,1,1,2,2,0,0,0,2,2,1.0,0.0,0.0,0.0
10,0,17436,1,57,0,1,0,0,0,2,3,0,0,0,1,1,0.0,0.0,1.0,0.0
11,1,55516,1,39,1,0,0,0,1,4,3,0,0,0,1,3,0.0,0.0,0.0,1.0
12,4,51938,2,60,0,0,1,0,0,5,5,1,0,1,1,2,0.0,0.0,1.0,0.0
13,5,53449,2,47,1,0,0,0,0,3,9,0,0,0,1,2,0.0,0.0,1.0,0.0
14,7,24898,2,32,0,0,1,1,0,4,4,1,0,0,1,1,0.0,0.0,1.0,0.0
15,2,17757,1,75,1,0,0,1,1,4,1,0,0,0,1,2,1.0,0.0,0.0,0.0
16,1,10600,2,44,0,1,0,0,1,3,3,1,0,1,1,2,0.0,0.0,1.0,0.0
17,0,39519,1,58,0,0,1,0,1,4,5,0,0,0,1,1,0.0,0.0,0.0,1.0
18,1,47130,2,46,1,0,0,1,0,2,3,1,0,0,1,1,0.0,0.0,1.0,0.0
