,ID,0
0,2266A47G,3
1,2266A87M,3
2,25B4A3A3,0
3,23B52323,2
4,23B5552H,8
5,2287767A,1
6,2456548F,4
7,239BABBV,6
8,23695B8Q,8
9,2369B67E,0
10,237B459T,2
11,237B6427,2
12,237BA54W,4
13,23823494,1
14,23823A7V,8
15,23825B6B,8
16,2382743P,0
17,238A78AY,5
18,23A5868N,0
19,243A98BG,0
20,243B369V,0
21,243BA28U,1
22,243BA363,0
23,243BA54L,1
24,243BB2AJ,0
25,2383285M,0
26,238A7B63,4
27,238A844U,0
28,238B2BAL,2
29,238B85BG,0
30,239A98BZ,8
31,2424B6BV,0
32,2424BB5C,3
33,232873A3,1
34,24372956,2
35,2437456W,0
36,2437B98B,0
37,2438A99T,0
38,2264866Q,2
39,2264B37A,8
40,226545BX,8
41,23282927,5
42,239A7A3T,0
43,239A8483,8
44,239A973R,3
45,2374322B,0
46,2322725G,0
47,23287687,1
48,237B46AU,1
49,23823B54,0
50,2383B654,0
51,23694B8S,2
52,2373763K,8
53,237B275E,4
54,238292BX,3
55,22874A9R,5
56,22875A3C,8
57,2337239C,0
58,2293925E,0
59,2287349Z,8
60,2287743K,4
61,2462269P,2
62,24625B92,0
63,23225752,8
64,2322685A,4
65,232285B6,8
66,233736BX,8
67,23369276,0
68,2365B465,2
69,253AAB36,2
70,25B64A6Y,5
71,25B66A6U,2
72,236923BA,3
73,237BA83R,0
74,238233AJ,3
75,23828649,2
76,2383A73E,0
77,2383BA5C,0
78,2457A847,2
79,2457B65K,1
80,238B8745,4
81,239A873T,1
82,239A797K,0
83,2382BA3V,2
84,239A788B,8
85,23AA5B9C,1
86,2373685A,6
87,23824B4B,1
88,243A97B6,2
89,2448B9AL,2
90,2456956F,1
91,2462755Z,0
92,24628A4F,0
93,2462B22D,6
94,23B5793K,1
95,2327943X,8
96,2322997G,1
97,24B4724B,3
98,2293996H,8
99,2322826F,4
100,2336744S,3
101,23536B6B,3
102,23692A6J,0
103,23689A8S,2
104,2369444J,0
105,2369B64B,8
106,237374AW,4
107,23AA826D,0
108,2553759K,0
109,2553A6AB,3
110,25984874,5
111,2369A52B,0
112,238B4654,4
113,2634AB96,1
114,2686659E,3
115,26B7844F,1
116,23A597AN,0
117,23AA5487,2
118,23AA746B,1
119,2423962B,3
120,27A62BAF,4
121,27A67445,1
122,27B578BX,3
123,226556B6,2
124,229398AB,3
125,22947A3A,5
126,2294A525,0
127,23223427,2
128,23227A2S,0
129,23228B76,0
130,2472429C,2
131,24728629,4
132,2473286Q,0
133,24732994,2
134,25B448BC,5
135,25B6286F,8
136,25B6836L,2
137,2373896H,3
138,23827969,1
139,238A67BR,2
140,238B4676,0
141,238B848D,0
142,238BB36F,1
143,239BAB6B,8
144,23A58A7V,0
145,23AA6ABR,0
146,23B5859C,3
147,22624369,8
148,22648498,0
149,24479365,8
150,2447954N,8
151,24479B3G,6
152,2448B98U,3
153,2492A992,0
154,2287772F,0
155,24239358,8
156,2553865P,5
157,2553992F,4
158,2554A73T,6
159,2565254N,1
160,25654438,1
161,2575734W,4
162,2575942B,0
163,25759476,8
164,2586227C,0
165,2597838B,0
166,259883B8,1
167,25995BA7,0
168,2599A972,1
169,26332BBE,1
170,2633665R,0
