,ID,0
0,23BA695M,0
1,2442649M,0
2,2442789R,8
3,24428A25,0
4,2442955M,1
5,23B9785Z,0
6,23BA72AD,0
7,2295A77A,3
8,2295BA54,3
9,23759629,0
10,2376563X,6
11,24534752,0
12,2453897G,5
13,245396AB,0
14,24539A8S,3
15,25BB424F,5
16,2363627G,5
17,2366545A,0
18,2368396Q,0
19,2368773T,8
20,23639B5X,3
21,2442439G,0
22,244253B6,6
23,232346B4,0
24,242424A7,0
25,2424595M,2
26,24246A3V,1
27,2424935M,3
28,233494BR,4
29,2335543G,5
30,23363847,5
31,2336B22H,1
32,23235BBK,0
33,2264832Q,6
34,2264A57X,0
35,226532A3,0
36,2265338L,3
37,2265399E,0
38,22654289,4
39,22654B8Y,0
40,232AA998,2
41,2335963T,2
42,2335A4BP,6
43,2323484S,0
44,23B9675R,8
45,23BA86BC,5
46,23BA9A8W,5
47,23B962A5,5
48,2323285X,0
49,22657963,5
50,236687BV,5
51,2366858H,1
52,2294877E,0
53,2294977C,5
54,236853AN,0
55,23762A8H,0
56,23765A58,8
57,23BBBA4N,8
58,23352649,7
59,23353B6S,1
60,2336AA2Y,1
61,2376AA6J,1
62,23357683,1
63,2352595Z,5
64,2335B48U,3
65,2352588S,8
66,2353B27M,0
67,25A7A39G,0
68,25B362B2,8
69,2366393T,0
70,2368456H,1
71,237589A5,1
72,2457349Z,2
73,2457552Y,8
74,2457665A,3
75,2457666B,2
76,23763347,5
77,2443AB5E,0
78,2453324L,2
79,23B988AS,5
80,23B98A8N,8
81,23BA834Q,0
82,23BA857E,3
83,2335788N,4
84,233628A5,5
85,23633ABV,1
86,2366795M,8
87,2295362N,8
88,2323457Z,3
89,233557A9,5
90,229523AS,5
91,2323372H,3
92,2323788Q,8
93,2323852L,0
94,2363738Q,8
95,23668A6Y,0
96,2368424J,5
97,23759B2S,5
98,237623B6,8
99,256627BK,5
100,25922972,0
101,2592655K,0
102,259272AH,0
103,2366489M,5
104,236837BZ,4
105,2629689T,4
106,2629826U,0
107,244279BT,3
108,27A89B3X,3
109,23BA9B32,6
110,23BBA62F,5
111,2295BB5E,3
112,2323757T,0
113,23237A49,8
114,232AAB7T,0
115,232AB338,2
116,232AB623,0
117,2335829V,0
118,2335B53Z,3
119,23633B38,0
120,23636A6U,0
121,2352946B,2
122,23B98958,0
123,23BA793C,5
124,23BA8496,0
125,25222945,0
126,244249AY,0
127,247B452S,1
128,2566448S,2
129,2566B6BC,0
130,2566BA4N,1
131,2592547E,0
132,2629855P,4
133,263B446H,8
134,2656482U,0
135,2656B95E,5
136,24535B7A,1
137,24538B2Y,2
138,24426A7E,0
139,2457758B,0
140,2682AB3R,0
141,2672B37A,0
142,2678668D,1
143,267B6A8Q,0
144,2682B658,3
145,268B797E,8
146,268B839M,8
147,26A667AS,0
148,26B2AA4N,3
149,26BB2A67,1
150,26BB58B8,5
151,2424735R,5
152,23683776,0
153,27A8933C,0
154,27A8949Z,3
155,2442522W,8
156,2443A438,2
157,2566546N,0
158,2566672D,0
159,2566B93A,0
160,2295232U,3
161,2295432Q,8
162,2295B58N,1
163,263A534N,1
164,263B3A6D,6
165,263B5A47,8
166,26722B3C,4
167,2672AA5E,5
168,26785267,1
169,2682A22B,8
170,2263A9BC,8
171,268B9B8Y,8
172,26A64B7C,0
173,26A6764J,0
174,249B442Q,5
175,249B8B4N,0
176,26BB6838,1
177,27A8928D,3
178,2264A56W,4
179,2264A6AB,4
180,2265329C,2
181,247A247C,0
182,247A338B,1
183,247A743X,1
184,249B4587,0
185,247AB56N,4
186,247B422W,3
187,247B827T,3
188,247B267C,2
189,2263477V,0
190,2263A763,1
191,22654B9Z,1
192,23528A45,0
193,2366294W,1
194,23683765,1
195,256623BE,2
196,2592257V,2
197,25BB2423,4
198,23BBB929,8
199,263B344H,0
200,2656A65K,5
201,2657B66Y,0
202,26822272,1
203,2265784Q,5
204,2265792Y,2
205,22658AA7,8
206,268B6887,1
207,26BB398U,8
208,2334965G,1
209,252B932H,6
210,2323558Y,0
211,2424869P,0
212,242488AB,3
213,2424247E,3
214,24242725,2
215,2424397T,3
216,242463BP,8
217,2424659C,1
218,2424759G,1
219,242476BC,8
220,2424837R,5
221,2424862H,0
222,25A69298,6
223,25B35BAS,0
224,2453438Y,2
225,24534B8D,0
226,233545AQ,5
227,23355A9G,3
228,2336396J,4
229,2336464J,2
230,252237AD,3
231,25223943,3
232,252244AF,5
233,2522459Z,5
234,2522555T,8
235,2363833C,0
236,25B3569C,0
237,249B873E,2
238,247A364S,8
239,247AB99X,4
240,247B3329,2
241,2366736W,1
242,2366787E,4
243,2366B37A,1
244,2376382L,8
245,25A697AF,0
246,23B98969,0
247,24248494,1
248,25B365BX,0
249,25B37243,2
250,2295A3AW,1
251,2295A46D,2
252,2295A56N,8
253,2295A59R,2
254,2295A725,4
255,2295A747,4
256,2295AAB2,4
257,2295B32W,3
258,2295B394,3
259,2295BB7G,7
260,2295BBA9,0
261,25A6846S,0
262,25A68BAQ,5
263,25A7A55X,0
