,Year,Cluster,YNV_GLB_16,Not Consider Other Makes,Not Consider Other Segments,OVC_US_2C1_1,OVC_US_2C1_2,OVC_US_2C1_3,OVC_US_2C1_4,OVC_US_2C1_5,OVC_US_2C1_6,OVC_US_2C1_7,OVC_US_2C1_8,OVC_US_2C1_9,OVC_US_2C1_10,OVC_US_2C1_11,OVC_US_2C1_12,OVC_US_2C1_13,OVC_US_2C1_14,OVC_US_2C1_15,OVC_US_2C1_16,OVC_US_2C1_17,OVC_US_2C1_18,OVC_US_2C1_19,OVC_US_2C1_20,Cus_BrandExp,Advertising,Audio,Bluetooth,Camera,Comfort,Dealer,Disappointed,DQR,Economy,Engine,Exterior,Features,Handling,Heated Seats / Strg,Interior,Maintenance,Navigation,Performance,Price,Quietness,Ride,Roominess,Safety,Seats,Styling,Transmission,Trunk,Wheel,Had Exterior Problem,Had DEXP Problem,Had FCD Problem,Had AEN Problem,Had Seat Problem,Had HVAC Problem,Had INT Problem,Had ENG Problem,Had Problem,Had Severe Problem,Had Very Severe Problem,Taken to Dealer,Problem Fixed,EXT_Index,INT_Index,SS_Index,AEN_Index,Seats_Index,HVAC_Index,DD_Index,ENGTRN_Index,VDS_Index,FUEL_Index,APEAL_OSAT
Year,1.0,0.00301117007046,-0.0181367440445,-0.00624793905402,0.0356792041514,-0.0105459104584,-0.0139005346889,-0.00176992576207,-0.00768222467089,-0.00547409295643,-0.00580686147263,-0.00630234069496,-0.0121128513971,-0.0192535011814,-0.0110826337647,-0.0195473100466,-0.0119605542706,-0.00450992525361,-0.0120150873095,-0.000757684325135,-0.0306097302727,-0.012396055938,-0.00548721535426,-0.0174182343189,-0.0062306575621,0.0277166003048,-0.0102004422974,0.00282092407052,0.00242724630539,0.0140368885877,-0.00341150268364,-0.00337366638102,-0.00147528882634,0.00543243724787,-0.0235532710246,-0.00108875178354,0.00810673589442,0.00866590973563,-0.0100923551764,0.001589497738,0.00175965775976,0.00282825494069,-0.00319696575354,0.00372291696279,0.00369131050102,-0.00212484348322,-0.00642291370442,-0.00810180317792,0.00691236427033,-0.0126505095327,-0.00155783483962,-0.00219490024055,-0.00674351572021,-0.00395661180723,0.0122969896535,0.0156381925709,0.0149721051218,0.0133730999908,0.0130699633975,0.0168900069708,0.0119559830812,0.0115534245968,-0.0229741659004,-0.0200283416479,-0.0197709368538,-0.0379570374597,-0.0276963558249,-0.000924599768547,0.00129471862635,-0.00134234322648,-0.00314169896582,0.00202816253136,0.00237053272535,0.00261971541939,0.00360552546875,0.00241268004218,0.0340044843888,0.0060372215238
Cluster,0.00301117007046,1.0,0.0340111242767,-0.00753886263755,-0.0194185452379,-0.00306900291023,-0.000238909263611,-0.000280381906677,-0.0101242200868,-0.00859506693276,-0.00706455996988,-0.0193600341486,-0.00768798483203,-0.0160440930796,-0.0136730617375,-0.0143714965753,-0.00567067660504,0.00479957096882,-0.0101516000311,-0.0191375943637,-0.0186168410357,-0.0196360720862,0.00326240980632,-0.00795370641926,-0.00483280305511,0.0424567554853,-0.00200902351471,0.002952144022,-0.00494588248755,-0.00217521305728,-0.00619060284013,-0.00651489034382,-0.00702547055412,-0.0198455068385,-0.00969137139758,-0.00298261185868,-0.00738938899865,-0.010168017524,-0.0124510353283,-0.00488791499928,-0.00698569088641,-8.82925637162e-05,-0.0041090518386,-0.000261058520457,-0.00738412033985,-0.00304974608244,-0.000949240597151,-0.00561704335996,-0.018086080873,0.00210218123434,-0.0139352392218,0.006479701625,-0.00255393115474,-0.0116099348687,-0.00178936135543,0.00658703781284,0.000917810009644,-0.0117456677725,0.00643735262622,0.00502961839993,0.000816299249105,0.00959722148081,-0.00868959317439,-0.00823860261076,-0.00927627765083,-0.00306921844149,-0.00878120566124,-0.0689160669826,-0.0618806163322,-0.0483374130504,-0.0471839043922,-0.0524655841978,-0.0400212371882,-0.0485311660942,-0.0466138385336,-0.0555081174936,-0.0404197100666,-0.0644270985648
YNV_GLB_16,-0.0181367440445,0.0340111242767,1.0,-0.0716660252806,0.0568959331231,0.0257935111446,0.0163845953686,0.0222291852476,0.0203078525826,0.0100537792706,-0.00439415096224,0.0118314309112,0.00529710647575,0.0199883573925,0.0166789138778,0.0113946082702,0.00682131046296,-0.0116258214038,-0.00764347502187,0.0810636365547,0.0170654968095,0.00387606290808,0.00562605181604,0.0102437550766,0.00432525509706,-0.197119284317,0.0297106396542,0.019224119968,0.0215127869738,0.00680824690056,-0.017703741935,0.0285298297951,0.0388938943996,-0.0357189110609,0.0202895264903,0.026105703922,0.00811893764773,0.0136765481352,-0.00686846878612,0.00681497720675,0.0178789442424,-0.0132991135998,0.0173884374807,-0.0105905752259,0.00946165761445,0.0300432284361,-0.00550569341709,-0.00331557250361,-0.0325218283375,0.0435352937664,-0.015787456765,0.0382897554172,0.0123728985735,-0.0018704548018,0.0695665580914,0.0416054550033,0.0589279182651,0.0800882080926,0.0514737120174,0.0396034365697,0.0616017613421,0.0658161745845,0.171702919247,0.157246165282,0.16976492729,0.119037163896,0.0371058143741,-0.231851565539,-0.227691697669,-0.228587976813,-0.228272051173,-0.229539789054,-0.216132052901,-0.236353820008,-0.2360538951,-0.233185189519,-0.181296333407,-0.312045046308
Not Consider Other Makes,-0.00624793905402,-0.00753886263755,-0.0716660252806,1.0,-0.0276594790407,-0.0189663822515,0.0108822531129,0.00824170156305,-0.00346929183779,-0.00305146390408,-0.00544895205896,-0.00915341427081,0.0157119265185,-9.32183088405e-05,0.0028733797114,0.0289160990348,0.0399106748283,0.0452474190159,0.0562817043431,0.0265500618929,0.013190100514,-0.00628950749876,0.000657045341683,0.00365708970317,0.00775931048571,0.0699996128152,-0.00630972500122,0.00261768323094,3.73664377629e-05,-0.000656886446416,0.00453419551361,0.00206967416028,0.00512809195636,0.00257712638724,0.000675499255387,0.00212179377273,0.00502376416295,-0.00477402430639,-0.00210316841927,-0.00590897558765,0.00843267014678,-0.00301403848097,-0.00355635007377,-0.00308666031027,-0.00782332832779,-0.00393455032473,0.00394200217304,0.0130688934254,-0.00737414468359,-0.00160433382776,0.00294392330563,-0.00685004899081,0.000643411169823,-0.00148889874338,-0.00467304221009,-0.00188987664858,-0.00958030422232,-0.00805684008837,-0.00364575563753,1.96888112155e-05,-0.00398272993431,-0.0029031581639,-0.0117005666559,-0.00939253003152,-0.00274294747955,-0.007669855655,-0.000621214638352,0.0109582410552,0.0114608517001,0.0108540596214,0.0123420657968,0.0110266289367,0.00826005415785,0.00942551454311,0.0112190506094,0.0141646893127,0.00120450324551,0.0105265604492
Not Consider Other Segments,0.0356792041514,-0.0194185452379,0.0568959331231,-0.0276594790407,1.0,0.0522176931361,0.0356487763308,0.0216455384173,0.0723907315529,0.0214841777825,0.0432357665578,0.04183545059,0.0440414831017,0.0819998867058,0.0746877666005,0.0426010687787,0.023914906311,0.010464549307,0.010664647792,0.0430637082433,0.0164433905432,0.0537367158991,0.0210477197817,0.0532171679571,0.0238239617364,-0.0894463000312,-0.00199883643631,0.00411723221819,0.00420159413725,-0.00800233621611,0.0257122828434,-0.000250368987418,0.00168754618999,0.00503380274258,0.00307492543861,0.00192685585807,0.0116309217139,0.0181864719825,0.0100917565552,0.00239731815159,0.019331598348,-0.00489299628008,0.00340516282106,0.00748737516143,0.0214059324796,0.00639433467194,0.0233892882417,0.0186435577479,0.0128134618214,0.014840088198,0.0168979444692,0.0136514748361,-0.00748062226833,0.00134381647183,0.0322236213556,0.0308179942564,0.0345105535219,0.0382925739217,0.036523823439,0.0323810003516,0.0287493143584,0.0329411474363,0.00559793519024,0.0127269821033,0.00523612984601,0.00303041660366,0.00730049381557,-0.00673040025011,0.00788679022287,-0.000115341224169,-0.00709338689206,-0.000776515457029,-0.00467268875245,-0.0034759529502,-0.0153414816491,0.00237705494519,-0.084283195681,-0.0144434208432
OVC_US_2C1_1,-0.0105459104584,-0.00306900291023,0.0257935111446,-0.0189663822515,0.0522176931361,1.0,0.0956307173237,0.0853231343174,0.104511412261,0.101304400721,0.128407395346,0.104729968548,0.0961029460123,0.0736066046027,0.10297224631,0.0714848394949,0.070483933487,0.0506663945823,0.0443989909469,0.0814611003171,0.0577836587652,0.1057118412,0.106229669646,0.103676112646,0.119256932457,-0.0705557511292,0.00278491702942,-0.00290014468965,0.0106143477975,0.00129223739411,0.0101986572665,0.0267363846728,0.00321082185531,0.00756880021329,0.00475661186773,0.00560289332059,0.00024655161956,0.00640629010382,0.00225783896055,-0.00397343287977,0.00848902891495,0.00123242335113,-0.00255802239447,0.00392583917704,0.00146770943958,0.00669178801503,0.00384533814669,0.00678530843007,0.0142984984632,0.00574673492812,0.00418010203895,0.000444134660789,0.00468500191889,-0.000789481873571,0.00289932657091,-0.00155685915005,0.00307806494746,0.00488592377488,0.00280975034389,-0.000354224107358,-0.000160502536236,-0.00550722990629,0.0123044730077,0.0207040010438,0.0173704598111,0.017958515994,0.00363638257061,-0.00808571974517,-0.00665726733663,-0.00913324311523,-0.00989274611116,-0.0106170280362,-0.0131516686312,-0.00826516008052,-0.0139227202226,-0.0107832746339,-0.00978323269888,-0.0115433401489
OVC_US_2C1_2,-0.0139005346889,-0.000238909263611,0.0163845953686,0.0108822531129,0.0356487763308,0.0956307173237,1.0,0.212109067049,0.136801383281,0.166618336893,0.178285454401,0.142899609982,0.160797862912,0.150497666432,0.158313205779,0.133873115872,0.144893198664,0.0535917596404,0.11698968541,-0.00334659358734,0.0835597970701,0.133542327322,0.127307624681,0.239306054732,0.117451989927,-0.0537654908449,0.00289054070908,-0.00682345307829,-0.00253139446864,-0.00528798483217,0.00165409325166,0.00263947341851,0.00408859592794,0.00017079690236,0.00951784846682,0.0358940896964,0.00232782412691,0.00239133567723,0.015946353435,-0.0021222011055,0.00472113291947,-0.00875040816261,0.00238744712709,0.0336250983859,0.00799079599658,0.00590057742607,-0.00451714844022,-0.00255757205109,0.000744908506021,0.00181380423077,0.00704227279588,0.0103331359919,-0.00916781334903,0.000519127206142,0.0148788688306,0.013649200901,0.00965918641712,0.0173824516727,0.0116144633381,0.0128141008586,0.0163602401711,0.01363023406,0.026863398069,0.00858937830016,0.011522577888,0.0140142405556,0.00977349313942,0.00492857432134,0.00770881689518,-7.56616388438e-05,-0.00224489082994,0.00674537114967,-0.00101868169738,0.00850605052241,0.0128061391742,0.00353599119422,-0.00353938652101,0.00797628499206
OVC_US_2C1_3,-0.00176992576207,-0.000280381906677,0.0222291852476,0.00824170156305,0.0216455384173,0.0853231343174,0.212109067049,1.0,0.129177080393,0.136180615962,0.136347884483,0.126715655708,0.10705119662,0.102678037427,0.104112044715,0.0914386331623,0.104574812736,0.0684232338876,0.0717741056955,0.0188201817272,0.130366515401,0.108526307635,0.140541642907,0.12003225526,0.104856616846,-0.0435584846566,0.00610495502036,0.0047239866696,0.000387038025805,0.00443674037877,-0.00332738083863,0.00427921482944,0.00472605850861,-0.00096470037878,0.024882411074,0.0326688261309,0.00286536989778,0.00280449456138,0.0105066628838,-0.000959077444232,0.0023887464438,-0.00622070118764,0.00292260733908,0.0238884984963,0.0115892441052,0.00680167722858,-0.00166876763677,-0.00407071902877,-0.00983562707518,-0.00484040435896,0.00367231145758,0.0307943164866,-0.00516537132234,0.00400903092459,0.0102690582577,0.00978889954981,0.00334935150285,0.0140623309722,0.00296891684321,0.00228231671375,0.00778109486821,0.0108665538511,0.0208091987393,0.00977805641445,0.0117222363331,0.0140151887644,0.0101660709832,-0.00573275686848,-0.00230775916409,-0.00881474345816,-0.00802158276084,-0.00548782797577,-0.00574824020019,-0.00107078455373,0.00971261688286,-0.00772465026438,0.0216428647056,0.000878148427758
OVC_US_2C1_4,-0.00768222467089,-0.0101242200868,0.0203078525826,-0.00346929183779,0.0723907315529,0.104511412261,0.136801383281,0.129177080393,1.0,0.119426440907,0.155472544851,0.108388471273,0.142560698137,0.137883275101,0.18981316073,0.117099630736,0.108827521876,0.0479649984526,0.0751169468458,0.0377641509034,0.0740011875991,0.098210154233,0.113915897387,0.142868048776,0.0987216620545,-0.0606433713031,-0.00091151325479,-0.000605642973784,0.00488162056486,0.0142232698747,0.00820240718931,-0.000915181021574,0.00236347834208,-0.00316565735946,-0.0057411730951,0.00578658791347,0.0145978141508,0.0480753184701,0.00456075848489,0.00621462118727,0.0130073778654,-0.00427512367997,0.0107211604995,0.00932887306509,0.0222671863657,0.00763457510618,0.00215280978959,0.000730575884347,0.0206939511923,0.00480245563038,0.0177101797266,0.00385051261693,0.00495309786385,0.00670127934082,0.00188829042875,-0.00151606977284,0.00802973259047,0.0221048188366,0.00365283881316,0.00108758866132,0.000984484846461,0.00168414295269,0.0182057207519,0.0158513900234,0.011029748365,0.0127280424628,0.00444795596182,0.0155823184747,0.0187921817389,0.00906132370954,0.00911021376994,0.0137905010545,0.0101698887238,0.0123622345682,0.00520607415397,0.010934758122,-0.00681778346486,0.0156876372104
OVC_US_2C1_5,-0.00547409295643,-0.00859506693276,0.0100537792706,-0.00305146390408,0.0214841777825,0.101304400721,0.166618336893,0.136180615962,0.119426440907,1.0,0.191344648961,0.154479812802,0.12669313593,0.199867426777,0.177509165438,0.100961431255,0.109585453185,0.101319174441,0.0766481187105,0.00891849974011,0.0732003800834,0.155725791737,0.140021117749,0.142786070459,0.143329765738,-0.0322965491395,0.0022003059276,1.70911924173e-05,0.00118355713274,0.00357285208776,-0.00555037930722,-0.000985364357328,0.00344776868817,0.00314110882008,-0.00464619726056,0.00898874966436,0.0112926826429,0.0048838765525,0.00334440340507,-0.00451081277231,0.00413331534029,0.0056356271524,0.00226926954104,0.011638683401,0.00425576828543,0.007351359798,0.00164243308627,-4.64629565904e-05,-0.00517265829843,0.00177674587538,0.0076698296353,0.00904683058641,-0.00984501589404,0.00155015514998,0.00814904909611,0.00656523396027,0.00835483822717,0.00952539659447,0.00821659289951,0.00718873407188,0.00352033723245,0.00744922934572,0.010956883637,0.00719313981932,0.00586977856083,0.0116504779561,0.0101024408834,0.0102253710896,0.0101351971332,0.00417475983917,0.00572925059884,0.00909711059312,0.00484132406585,0.00743596365137,0.0083110202251,0.00703880078734,2.19073032629e-05,0.0106054846793
