,0
0,4
1,5
2,0
3,4
4,2
5,5
6,4
7,1
8,7
9,1
10,0
11,5
12,2
13,3
14,3
15,7
16,7
17,3
18,7
19,3
20,2
21,7
22,6
23,3
24,1
25,6
26,3
27,1
28,0
29,3
30,8
31,2
32,1
33,8
34,0
35,2
36,0
37,5
38,1
39,3
40,3
41,2
42,1
43,6
44,7
45,3
46,4
47,3
48,4
49,3
50,1
51,0
52,2
53,8
54,1
55,6
56,1
57,1
58,2
59,0
60,0
61,6
62,1
63,1
64,3
65,0
66,0
67,2
68,7
69,0
70,1
71,0
72,4
73,2
74,2
75,0
76,1
77,7
78,3
79,1
80,1
81,0
82,4
83,3
84,3
85,7
86,1
87,2
88,3
89,1
90,2
91,1
92,1
93,8
94,3
95,2
96,3
97,5
98,4
99,5
100,2
101,3
102,3
103,7
104,0
105,3
106,1
107,1
108,1
109,1
110,0
111,0
112,7
113,5
114,3
115,7
116,2
117,1
118,2
119,4
120,1
121,7
122,5
123,7
124,1
125,3
126,3
127,3
128,4
129,3
130,1
131,7
132,1
133,3
134,1
135,0
136,1
137,4
138,5
139,3
140,3
141,4
142,2
143,4
144,4
145,0
146,1
147,4
148,0
149,5
150,0
151,1
152,3
153,2
154,2
155,0
156,2
157,0
158,3
159,5
160,3
161,3
162,4
163,3
164,3
165,3
166,4
167,2
168,2
169,1
170,3
171,2
172,3
173,3
174,0
175,7
176,7
177,1
178,8
179,5
180,6
181,1
182,0
183,1
184,3
185,3
186,5
187,7
188,3
189,2
190,1
191,3
192,7
193,3
194,1
195,7
196,5
197,4
198,3
199,0
200,1
201,2
202,1
203,0
204,0
205,3
206,1
207,5
208,2
209,3
210,1
211,4
212,4
213,4
214,0
215,4
216,1
217,1
218,1
219,6
220,3
221,4
222,0
223,3
224,1
225,2
226,0
227,7
228,7
229,0
230,5
231,2
232,0
233,1
234,3
235,4
236,8
237,8
238,4
239,2
240,4
241,3
242,2
243,3
244,2
245,3
246,0
247,3
248,4
249,8
250,4
251,3
252,8
253,1
254,1
255,5
256,5
257,6
258,1
259,1
260,4
261,2
262,4
263,1
264,4
265,0
266,4
267,1
268,6
269,1
270,2
271,3
272,0
273,3
274,1
275,4
276,7
277,4
278,1
279,3
280,1
281,8
282,6
283,2
284,7
285,3
286,2
287,3
288,2
289,3
290,2
291,7
292,4
293,1
294,2
295,1
296,1
297,8
298,3
299,6
300,1
301,3
302,1
303,0
304,5
305,7
306,4
307,2
308,2
309,3
310,4
311,8
312,8
313,0
314,5
315,0
316,7
317,3
318,2
319,3
320,7
321,3
322,3
323,4
324,7
325,2
326,3
327,4
328,3
329,0
330,0
331,2
332,0
333,5
334,1
335,8
336,1
337,8
338,3
339,2
340,3
341,6
342,6
343,4
344,1
345,5
346,3
347,2
348,1
349,3
350,4
351,3
352,4
353,0
354,1
355,5
356,1
357,4
358,1
359,0
360,1
361,8
362,4
363,0
364,0
365,4
366,6
367,1
368,4
369,2
370,3
371,0
372,6
373,3
374,2
375,4
376,1
377,7
378,6
379,2
380,1
381,7
382,4
383,8
384,1
385,2
386,0
387,7
388,3
389,2
390,0
391,7
392,4
393,4
394,3
395,2
396,0
397,1
398,0
399,2
400,0
401,7
402,1
403,7
404,3
405,4
406,0
407,4
408,4
409,7
410,0
411,7
412,1
413,3
414,7
415,7
416,4
417,1
418,2
419,7
420,2
421,7
422,1
423,8
424,8
425,1
426,3
427,3
428,2
429,5
430,0
431,4
432,3
433,4
434,1
435,4
436,2
437,1
438,2
439,2
440,4
441,0
442,7
443,0
444,3
445,1
446,5
447,3
448,6
449,2
450,6
451,2
452,1
453,3
454,2
455,1
456,4
457,1
458,8
459,4
460,1
461,2
462,0
463,6
464,0
465,7
466,4
467,3
468,1
469,1
470,4
471,5
472,0
473,0
474,5
475,0
476,5
477,3
478,3
479,1
480,8
481,7
482,4
483,2
484,8
485,3
486,3
487,4
488,1
489,3
490,5
491,0
492,1
493,3
494,2
495,3
496,1
497,1
498,2
499,2
500,7
501,1
502,4
503,7
504,4
505,3
506,2
507,5
508,3
509,0
510,8
511,1
512,1
513,2
514,8
515,4
516,0
517,7
518,0
519,0
520,3
521,0
522,3
523,4
524,3
525,4
526,4
527,2
528,4
529,4
530,3
531,1
532,4
533,3
534,7
535,2
536,1
537,2
538,7
539,0
540,2
541,7
542,1
543,0
544,0
545,3
546,3
547,4
548,2
549,4
550,1
551,8
552,1
553,3
554,1
555,7
556,5
557,5
558,2
559,0
560,0
561,5
562,2
563,1
564,0
565,0
566,0
567,2
568,2
569,4
570,3
571,2
572,7
573,0
574,7
575,2
576,8
577,2
578,1
579,2
580,7
581,3
582,4
583,3
584,3
585,1
586,7
587,2
588,3
589,3
590,4
591,1
592,3
593,2
594,4
595,1
596,5
597,3
598,3
599,1
600,3
601,4
602,4
603,2
604,0
605,3
606,1
607,1
608,0
609,3
610,7
611,3
612,1
613,1
614,3
615,7
616,0
617,0
618,6
619,7
620,1
621,3
622,1
623,3
624,1
625,1
626,0
627,1
628,8
629,1
630,8
631,0
632,0
633,7
634,1
635,1
636,3
637,7
638,0
639,2
640,5
641,2
642,2
643,0
644,7
645,3
646,2
647,4
648,8
649,1
650,1
651,4
652,0
653,8
654,3
655,1
656,3
657,1
658,2
659,2
660,4
661,5
662,4
663,1
664,2
665,7
666,4
667,1
668,4
669,8
670,5
671,6
672,1
673,0
674,2
675,7
676,5
677,5
678,4
679,1
680,4
681,2
682,3
683,3
684,8
685,2
686,1
687,1
688,0
689,3
690,4
691,3
692,0
693,7
694,0
695,4
696,3
697,5
698,2
699,7
700,8
701,7
702,1
703,1
704,1
705,0
706,3
707,1
708,5
709,0
710,3
711,3
712,4
713,2
714,1
715,7
716,8
717,5
718,0
719,4
720,0
721,4
722,4
723,4
724,1
725,2
726,1
727,8
728,4
729,5
730,2
731,8
732,3
733,2
734,3
735,8
736,8
737,3
738,4
739,6
740,8
741,3
742,3
743,7
744,3
745,3
746,2
747,3
748,4
749,2
750,1
751,4
752,5
753,8
754,0
755,8
756,3
757,3
758,0
759,3
760,1
761,8
762,0
763,1
764,3
765,8
766,0
767,3
768,5
769,4
770,2
771,3
772,0
773,2
774,4
775,1
776,3
777,1
778,6
779,5
780,3
781,1
782,1
783,5
784,0
785,3
786,3
787,0
788,2
789,1
790,2
791,3
792,4
793,0
794,2
795,0
796,4
797,2
798,3
799,0
800,7
801,0
802,1
803,6
804,1
805,2
806,3
807,1
808,1
809,8
810,3
811,6
812,0
813,1
814,1
815,1
816,1
817,1
818,0
819,1
820,4
821,0
822,7
823,4
824,5
825,1
826,6
827,8
828,5
829,5
830,7
831,5
832,4
833,6
834,2
835,0
836,1
837,5
838,5
839,8
840,0
841,3
842,4
843,1
844,8
845,0
846,3
847,5
848,4
849,2
850,3
851,3
852,4
853,1
854,5
855,3
856,6
857,1
858,0
859,4
860,1
861,1
862,2
863,5
864,2
865,2
866,7
867,3
868,3
869,4
870,4
871,5
872,0
873,6
874,1
875,0
876,4
877,5
878,7
879,1
880,3
881,1
882,3
883,1
884,7
885,1
886,8
887,1
888,0
889,3
890,2
891,8
892,8
893,3
894,7
895,3
896,7
897,4
898,2
899,8
900,7
901,4
902,1
903,3
904,8
905,0
906,0
907,2
908,0
909,0
910,0
911,1
912,0
913,7
914,1
915,0
916,0
917,8
918,4
919,1
920,0
921,7
922,7
923,4
924,8
925,1
926,4
927,1
928,3
929,2
930,0
931,7
932,2
933,4
934,7
935,2
936,4
937,3
938,1
939,4
940,5
941,2
942,4
943,7
944,3
945,8
946,3
947,7
948,0
949,1
950,4
951,1
952,3
953,4
954,3
955,2
956,4
957,0
958,7
959,0
960,5
961,4
962,3
963,3
964,2
965,8
966,3
967,3
968,1
969,3
970,2
971,5
972,0
973,2
974,8
975,1
976,7
977,1
978,7
979,5
980,0
981,4
982,4
983,8
984,4
985,0
986,2
987,2
988,4
989,5
990,5
991,1
992,3
993,3
994,2
995,2
996,0
997,3
998,0
999,0
1000,3
1001,5
1002,3
1003,3
1004,0
1005,1
1006,8
1007,7
1008,4
1009,2
1010,8
1011,8
1012,4
1013,3
1014,6
1015,4
1016,3
1017,0
1018,7
1019,4
1020,8
1021,5
1022,4
1023,3
1024,0
1025,1
1026,1
1027,0
1028,3
1029,7
1030,1
1031,0
1032,0
1033,3
1034,3
1035,2
1036,3
1037,1
1038,3
1039,0
1040,0
1041,7
1042,3
1043,1
