Subset,Variable,Exclude,Avg_mean,Subset_mean,Delta,Avg_count,Subset_count,Avg_stdev,Subset_stdev,Significance
generation: Matures (1945 and Earlier),D_Age Bracket,,50.00797679,77.32142857,27.31345178,6895,812,16.62206635,5.311401219,60.64028324
generation: Leading Edge Boomers (1946 - 1959),D_Age Bracket,,50.00797679,63.36670481,13.35872801,6895,1748,16.62206635,4.009857789,36.56926216
generation: Matures (1945 and Earlier),D_Post-Family (No Children/Age Res 45+),,0.45069658,0.968017058,0.517320477,5527,469,0.497608253,0.176142521,29.72692184
dispose segment: Smaller Car,Shop_Segment Household Loyal,,0.681903179,1,0.318096821,4813,2271,0.465785692,0,28.83266816
generation: Leading Edge Boomers (1946 - 1959),D_Post-Family (No Children/Age Res 45+),,0.45069658,0.919636088,0.468939508,5527,1319,0.497608253,0.271958871,28.42154774
lifestage: Married With Children,D_Total # Children In Household,,0.614795009,1.784972022,1.170177013,5610,1251,1.018685474,0.881434047,25.03970472
dispose segment: Smaller Car,Shop_Segment Repurchase Loyal,,0.613214838,1,0.386785162,2588,1587,0.487107876,0,24.59872413
lifestage_2: Post-Family (No Children/Age Res 45+),D_Generation_N,,2.681653372,3.698916098,1.017262726,6895,2491,1.412172473,0.938294418,24.38674301
marital status: Single,D_Single Without Children,,0.238504205,0.706038136,0.467533931,5589,1888,0.426207052,0.455695375,23.83496752
lifestage_2: Younger-Family (Age Oldest Child 1-12),D_Younger-Family - Income $80K or Less,,0.143575851,0.722492697,0.578916846,5168,1027,0.350693062,0.447987071,23.81724375
lifestage_3: Younger-Family - Income Over $80K,D_Married With Children,,0.223832528,0.912280702,0.688448174,5589,285,0.416848435,0.283383838,23.71686251
lifestage: Married Without Children,D_Post-Family (No Children/Age Res 45+),,0.45069658,0.847508807,0.396812227,5527,1987,0.497608253,0.359586851,23.04599128
lifestage_3: Post-Family - Income $80K or Less,D_Age Bracket,,50.00797679,62.13477975,12.12680296,6895,1521,16.62206635,9.843892381,22.87153155
