,ID,0
0,23B64A8N,3
1,24557938,3
2,2455A68W,3
3,23A26238,8
4,25B5A78W,2
5,23697A69,1
6,23698769,2
7,2369968Y,5
8,236964BC,0
9,2383659M,2
10,238366AN,1
11,2432544F,7
12,2425888N,2
13,2426B34W,3
14,2337557P,2
15,2432799X,3
16,2264B5BP,3
17,2264B74D,1
18,22656592,1
19,23295B23,5
20,2373458L,0
21,2448578B,1
22,244879A9,7
23,2448946U,0
24,2329877T,5
25,232988BX,5
26,23299872,1
27,232B367C,5
28,2295938L,0
29,22963996,0
30,2296A42N,6
31,2369844B,0
32,23699372,0
33,236999AL,0
34,23837A72,5
35,2286953C,5
36,2287264H,7
37,2287239R,1
38,22872BBX,0
39,2464242Q,3
40,2464537E,0
41,24646ABA,5
42,2369578H,5
43,2372889V,3
44,2369777C,2
45,2464A46Y,3
46,25B52269,3
47,23696334,3
48,2369889M,8
49,23729665,3
50,2373B58S,1
51,2383355P,0
52,232B2492,3
53,232B49B6,4
54,232B93A3,0
55,232B993X,2
56,239BA67C,0
57,23A25876,5
58,23834B6H,7
59,23698363,7
60,2426ABA9,0
61,23B63872,0
62,22869B25,3
63,2287B5A5,5
64,22966A9C,0
65,2352265A,0
66,232985AB,3
67,235246B2,3
68,233ABB5T,0
69,2352B52Y,2
70,2352492Y,3
71,2369827T,0
72,23698BBC,1
73,2373AA9E,2
74,2473384L,5
75,2473459T,0
76,247363AU,0
77,2464B874,0
78,2552A73Z,1
79,25683689,2
80,2569339T,3
81,2569B8A5,1
82,25796525,7
83,2579759A,2
84,258A7AAY,2
85,2622438J,0
86,26363B2L,0
87,2636765X,4
88,2636AB5V,3
89,26553B3G,3
90,265567BZ,3
91,26A9553K,6
92,26AAA58B,0
93,23A2426F,7
94,24328723,0
95,22868763,0
96,246448AQ,2
97,2296527X,0
98,2296579G,2
99,232B647R,1
100,2337737Z,2
101,236962BR,0
102,23833343,8
103,23B595B8,1
104,24744B4W,7
105,2474A6BC,8
106,2474AB9A,7
107,2474B35P,2
108,22625345,5
109,2262544F,5
110,2266A96W,0
111,25528298,0
112,25528A2F,8
113,2578739A,0
114,25787B2H,0
115,2579324H,5
116,25795BBZ,0
117,258A658Q,2
118,26363BBK,6
119,2636456U,3
120,262A64AN,7
121,2655737X,7
122,26557456,2
123,24557B5X,0
124,2448827C,5
125,26728B9C,2
126,26738BBC,7
127,2683497E,2
128,26837967,6
129,26893376,0
130,26A8678U,0
131,26A9326W,1
132,26A9475A,3
133,26AA487X,0
134,24256B7P,2
135,242583AY,2
136,2337679A,1
137,23523A5G,2
138,2352528B,8
139,235256BZ,2
140,2369679G,3
141,27B899AB,8
142,27B92A9R,0
143,23B5969R,6
144,232B266J,0
145,24326694,4
146,2432836B,6
147,2433232N,7
148,243332BA,1
149,2448544B,2
150,244885B2,1
151,24559A2F,3
152,242626AL,2
153,2552923Z,7
154,25687A89,0
155,2569442U,7
156,2569B443,2
157,2296A86Y,1
158,25788AA3,2
159,2579794B,0
160,262BB56U,2
161,2635572U,6
162,2636AA9P,8
163,247449B6,1
164,2636BA3G,2
165,2655424Q,7
166,26743B4B,8
167,2674429P,0
168,249A8B8D,0
169,249B267K,2
170,249B276U,2
171,249B336L,0
172,249B379V,2
173,26836BBR,2
174,268929AS,2
175,2689B95Z,5
176,26A92687,5
177,26AA2565,0
178,249B4AAH,5
179,249BA485,1
180,249BAA4U,1
181,249BB8AB,1
182,27A3232U,0
183,27A332BG,0
184,27B2B24D,0
185,27B9A94D,0
186,22633B76,3
187,2264B72B,4
188,2265668B,2
189,249BB59E,7
190,249A7392,1
191,2265469G,2
192,2265476N,6
193,2262793R,7
194,2262797V,1
195,2262A82U,3
196,2464A74S,1
197,25525885,2
198,2567869K,0
199,25797A8S,2
200,258A4B8N,5
201,26222556,2
202,238345BC,0
203,24644276,2
204,246446B6,1
205,262A77BC,1
206,262B593P,3
207,262BA53T,0
208,26357ABM,3
209,267338BV,1
210,2673576L,1
211,2683335M,0
212,2683534H,2
213,26838B7T,1
214,26889B6S,0
215,2689385K,8
216,2689429V,2
217,26A937B8,3
218,233793AN,3
219,229655AL,0
220,23297887,1
221,2425854N,3
222,25B5A45X,1
223,25B5B885,4
224,25B8969C,0
225,25B9B369,2
226,24B427AY,0
227,24B4442B,8
228,24B4528J,1
229,24B4B69Z,0
230,24B4BA65,0
231,228676AN,0
232,2286885C,1
233,242637BV,0
234,22648A3V,8
235,232B4938,2
236,242587A5,0
237,2425978B,2
238,2425997V,3
239,2474438L,7
240,2448642W,4
241,2474463C,3
242,2474A452,0
243,232B7B9V,3
244,232B8985,0
245,232B945C,2
246,24B4247A,3
247,23642B7T,3
248,2364B72H,7
249,2369692U,0
250,23699BBA,0
251,23728B7R,2
252,2425858S,0
253,24262445,0
254,2426369T,0
255,253A843K,0
256,253A846N,2
257,253A8B3P,0
258,253A9985,0
259,253BA9BV,1
260,2425793V,0
261,24259A34,0
262,24259B2D,5
263,253A74BK,8
264,25A8A65M,3
265,22959258,2
