,ID,0
0,226689BA,0
1,23A7624B,2
2,23B2262Q,3
3,2444269A,5
4,23AA29BM,5
5,23AAA694,2
6,23B253BM,2
7,23B7372B,1
8,23B78865,6
9,23BB927V,3
10,2375B4B4,1
11,237A4B32,5
12,23A6784L,0
13,23A68672,3
14,23A68A58,1
15,23B2232U,2
16,23B2523E,0
17,243A2A4L,1
18,243A4989,1
19,243A577K,3
20,243A65BR,1
21,243A7676,5
22,243AB78U,8
23,237AB24J,1
24,2325699X,1
25,2326B87A,5
26,2328964Y,8
27,23396849,6
28,2339B28W,4
29,24383AAQ,6
30,2438644U,0
31,23B73392,1
32,22655923,4
33,22655978,0
34,22655B5T,1
35,22655B9X,1
36,2325553M,4
37,23A7543X,8
38,23A7555A,1
39,23AA265V,7
40,2374747C,4
41,22999B8N,1
42,2325892L,2
43,2326B37T,2
44,23B2429M,1
45,23B2B789,3
46,2299923T,3
47,237479AS,0
48,237A28A5,1
49,237A34AW,5
50,237ABB9E,0
51,237B693P,8
52,237B9A4W,8
53,23BB92BP,7
54,22858563,2
55,24596698,2
56,2459686Q,2
57,24598A7A,3
58,245AB59C,2
59,2463767R,3
60,24639867,1
61,24639AAN,3
62,232594B2,5
63,2372B7AQ,5
64,237B72BC,1
65,23395467,6
66,23397529,0
67,2339A62Y,1
68,25B53267,0
69,23948669,0
70,2394875C,1
71,23948B6S,8
72,237457BC,2
73,23748683,5
74,2375B32U,6
75,237AA6BP,5
76,23A6882H,1
77,23B75487,1
78,237A35B8,5
79,243A485V,3
80,243A4923,6
81,243A778H,7
82,23B2323C,4
83,23B2A84H,1
84,23B76B56,1
85,23255738,2
86,2325664W,1
87,2328966B,5
88,245A42A7,8
89,245A786Y,1
90,2339B65Z,3
91,2372A67P,1
92,2374862W,6
93,24765BBK,1
94,2549946F,5
95,2593848N,6
96,2372244W,3
97,237B7A4B,5
98,2628A5BM,2
99,26387829,3
100,2684BB7M,4
101,26A2652L,1
102,26A29B7E,8
103,23A6965X,0
104,24385A6S,0
105,243A379R,6
106,27A55874,4
107,23B2B85G,3
108,23B7663K,1
109,23949B8S,4
110,23AA359M,1
111,22998972,5
112,22999B4J,0
113,2329235X,6
114,25B75389,2
115,246A537R,2
116,2476A44U,7
117,237B867T,3
118,23AA333V,5
119,2475823C,2
120,252A984L,3
121,2265723X,3
122,237224BT,4
123,25874692,6
124,246357BZ,6
125,2463686D,0
126,259B774N,5
127,262A3B65,1
128,263876BM,2
129,26389A3T,0
130,237AB8B8,1
131,2475872S,3
