,0
0,7
1,4
2,8
3,0
4,5
5,0
6,2
7,1
8,3
9,8
10,4
11,5
12,8
13,8
14,3
15,1
16,1
17,7
18,8
19,2
20,1
21,7
22,6
23,7
24,1
25,8
26,0
27,1
28,8
29,8
30,5
31,4
32,2
33,7
34,8
35,1
36,7
37,1
38,8
39,0
40,3
41,8
42,7
43,7
44,3
45,4
46,0
47,3
48,5
49,0
50,7
51,7
52,3
53,0
54,4
55,3
56,3
57,0
58,1
59,3
60,0
61,1
62,3
63,3
64,3
65,8
66,5
67,2
68,1
69,2
70,4
71,1
72,2
73,7
74,2
75,0
76,4
77,0
78,6
79,2
80,4
81,1
82,4
83,8
84,3
85,2
86,5
87,0
88,1
89,0
90,8
91,4
92,8
93,4
94,8
95,4
96,7
97,8
98,5
99,4
100,7
101,7
102,1
103,1
104,6
105,3
106,7
107,5
108,2
109,0
110,2
111,8
112,4
113,1
114,8
115,7
116,2
117,3
118,0
119,5
120,8
121,0
122,1
123,1
124,2
125,4
126,7
127,3
128,2
129,0
130,5
131,6
132,8
133,2
134,2
135,3
136,4
137,0
138,2
139,0
140,1
141,7
142,0
143,8
144,5
145,8
146,3
147,2
148,3
149,3
150,3
151,4
152,0
153,4
154,1
155,2
156,3
157,3
158,3
159,1
160,2
161,0
162,7
163,0
164,5
165,2
166,3
167,7
168,3
169,1
170,2
171,2
172,3
173,2
174,5
175,7
176,6
177,0
178,2
179,8
180,7
181,3
182,2
183,2
184,5
185,1
186,7
187,2
188,3
189,3
190,1
191,3
192,4
193,8
194,0
195,8
196,4
197,0
198,8
199,7
200,7
201,3
202,1
203,2
204,0
205,2
206,7
207,1
208,4
209,3
210,5
211,0
212,4
213,1
214,2
215,0
216,7
217,0
218,8
219,5
220,4
221,3
222,0
223,2
224,7
225,7
226,2
227,0
228,8
229,2
230,0
231,2
232,8
233,6
234,1
235,3
236,3
237,3
238,3
239,8
240,2
241,0
242,4
243,5
244,2
245,5
246,2
247,0
248,4
249,0
250,0
251,2
252,0
253,8
254,1
255,7
256,7
257,7
258,8
259,6
260,8
261,7
262,1
263,8
264,1
265,7
266,1
267,1
268,8
269,1
270,5
271,2
272,7
273,6
274,1
275,1
276,8
277,2
278,2
279,7
280,4
281,0
282,7
283,3
284,2
285,3
286,6
287,7
288,8
289,8
290,2
291,1
292,4
293,0
294,7
295,4
296,2
297,8
298,4
299,5
300,4
301,6
302,8
303,0
304,3
305,5
306,8
307,4
308,1
309,3
310,0
311,0
312,3
313,8
314,5
315,7
316,2
317,2
318,3
319,1
320,8
321,2
322,1
323,4
324,7
325,3
326,4
327,2
328,2
329,5
330,1
331,5
332,7
333,3
334,0
335,0
336,1
337,2
338,2
339,5
340,7
