ID,Mileage,Age,Drive-City,Drive-Highway,Drive-Rural,First New,Gender,Income,Education,Marital Status,Conquest,Consumer Reports,Knowledgeable,Fuel Grade,Grade
1,3,48,1,1,0,0,1,3,3,Married,1,0,0,1,3
2,3,41,1,1,0,0,0,3,9,Married,0,1,0,3,3
3,3,34,1,0,0,0,1,3,2,Single/Not Married,0,0,0,1,1
4,3,54,1,0,0,0,1,4,3,Divorced/Widowed/Separated,0,0,0,1,3
5,3,68,1,1,0,0,0,3,2,Divorced/Widowed/Separated,1,1,0,1,3
6,3,51,1,0,0,0,1,2,3,Married,0,0,0,1,3
7,3,36,1,0,0,0,1,2,4,Married,1,0,0,1,1
8,3,60,1,0,1,0,0,4,3,Married,1,1,1,3,1
9,3,58,1,0,1,0,1,5,4,Married,0,1,0,3,3
10,3,44,1,0,0,0,1,4,4,Married,0,0,0,1,2
11,3,32,1,0,0,0,1,4,4,Married,1,0,0,1,2
12,3,64,1,0,1,0,1,4,9,Married,1,0,0,1,3
13,3,73,1,0,0,1,1,5,3,Divorced/Widowed/Separated,0,0,0,1,2
14,3,56,1,0,0,0,1,2,2,Married,1,0,0,1,1
15,3,63,1,0,0,0,1,3,4,Married,1,1,0,1,3
16,3,52,0,0,1,0,0,3,3,Married,0,0,1,1,3
17,3,71,0,0,1,0,1,2,2,Divorced/Widowed/Separated,0,0,0,1,2
18,3,46,0,1,0,0,1,3,3,Living With Sig Oth/Dom Prtnr,0,0,1,1,3
19,3,72,1,1,0,0,0,3,2,Married,0,0,0,2,2
20,3,54,0,1,0,0,0,3,4,Married,1,1,1,1,2
21,3,57,1,0,0,0,1,2,2,Married,0,0,0,1,2
22,3,50,0,1,0,0,0,4,6,Married,0,0,0,1,3
23,3,38,0,1,0,0,0,4,6,Married,1,0,0,2,2
24,3,82,1,0,0,0,0,5,3,Married,0,1,0,1,3
25,3,72,1,0,0,0,0,5,5,Married,0,1,0,1,2
26,3,30,1,0,0,0,0,5,4,Married,0,0,1,1,1
