,0
0,5
1,2
2,4
3,3
4,1
5,5
6,0
7,2
8,4
9,2
10,2
11,5
12,1
13,2
14,1
15,4
16,6
17,1
18,4
19,5
20,4
21,1
22,1
23,1
24,4
25,0
26,1
27,1
28,0
29,5
30,2
31,0
32,0
33,6
34,1
35,4
36,1
37,1
38,5
39,6
40,1
41,1
42,4
43,1
44,4
45,2
46,1
47,2
48,2
49,2
50,3
51,4
52,4
53,6
54,5
55,5
56,2
57,5
58,2
59,5
60,1
61,4
62,2
63,4
64,4
65,8
66,5
67,2
68,4
69,1
70,2
71,2
72,5
73,5
74,0
75,4
76,2
77,6
78,2
79,0
80,8
81,2
82,1
83,2
84,1
85,2
86,6
87,4
88,1
89,4
90,4
91,2
92,2
93,0
94,4
95,5
96,2
97,1
98,0
99,1
100,6
101,1
102,4
103,0
104,5
105,5
106,2
107,2
108,2
109,4
110,5
111,3
112,3
113,6
114,0
115,4
116,1
117,1
118,1
119,4
120,2
121,1
122,6
123,5
124,1
125,6
126,0
127,0
128,6
129,8
130,6
131,1
132,1
133,8
134,0
135,5
136,3
137,1
138,4
139,4
140,4
141,4
142,5
143,4
144,0
145,2
146,3
147,1
148,1
149,0
150,5
151,3
152,2
153,1
154,4
155,6
156,1
157,3
158,5
159,0
160,8
161,1
162,1
163,2
164,6
165,5
166,4
167,1
168,2
169,7
170,1
171,8
172,0
173,2
174,2
175,7
176,3
177,3
178,3
179,5
180,3
181,6
182,0
183,5
184,1
185,8
186,6
187,3
188,8
189,5
190,2
191,6
192,7
193,1
194,4
195,4
196,7
197,1
198,5
199,6
200,8
201,6
202,1
203,1
204,7
205,7
206,2
207,5
208,8
209,1
210,2
211,2
212,2
213,3
214,3
215,0
216,1
217,1
218,1
219,1
220,1
221,4
222,5
223,1
224,2
225,0
226,3
227,4
228,0
229,3
230,8
231,0
232,0
233,8
234,7
235,2
236,2
237,8
238,4
239,0
240,5
241,7
242,4
243,2
244,2
245,1
246,2
247,4
248,8
249,0
250,7
251,2
252,2
253,3
254,0
255,7
256,2
257,4
258,5
259,2
260,8
261,0
262,3
263,1
264,4
265,3
266,5
267,1
268,5
269,8
270,7
271,4
272,7
273,1
274,2
275,3
276,3
277,0
278,8
279,8
280,1
281,2
282,0
283,0
284,7
285,5
286,7
287,3
288,6
289,0
290,7
291,1
292,6
293,4
294,0
295,0
296,0
297,7
298,2
299,8
300,6
301,5
302,3
303,0
304,4
305,1
306,2
307,3
308,1
309,1
310,4
311,2
312,1
313,4
314,0
315,3
316,7
317,3
318,2
319,7
320,2
321,1
322,3
323,2
324,0
325,2
326,2
327,2
328,0
329,6
330,2
331,1
332,0
333,1
334,0
335,2
336,2
337,6
338,1
339,2
340,2
341,1
342,0
343,5
344,4
345,2
346,7
347,2
348,2
349,0
350,2
351,6
352,1
353,2
354,4
355,2
356,8
357,0
358,7
359,8
360,8
361,8
362,3
363,7
364,1
365,4
366,4
367,2
368,8
369,7
370,7
371,4
372,0
373,8
374,0
375,6
376,0
377,5
378,4
379,1
380,3
381,5
382,2
383,7
384,4
385,6
386,8
387,1
388,2
389,1
390,8
391,0
392,4
393,1
394,3
395,1
396,4
397,8
398,6
399,0
400,4
401,4
402,0
403,6
404,0
405,1
406,1
407,7
408,3
409,2
410,6
411,1
412,1
413,2
414,5
415,2
416,3
417,3
418,7
419,4
420,5
421,1
422,7
423,0
424,3
425,3
426,8
427,2
428,4
429,4
430,6
431,6
432,7
433,1
434,2
435,5
436,8
437,5
438,2
439,1
440,4
441,1
442,1
443,4
444,6
445,8
446,5
447,5
448,5
449,1
450,5
451,5
452,5
453,5
454,2
455,7
456,7
457,3
458,7
459,8
460,6
461,7
462,6
463,0
464,0
465,7
466,7
467,4
468,0
469,0
470,8
471,8
472,5
473,4
474,5
475,7
476,6
477,2
478,4
479,6
480,2
481,4
482,0
483,2
484,0
485,8
486,5
487,5
488,3
489,0
490,5
491,0
492,0
493,3
494,1
495,4
496,6
497,6
498,6
499,2
500,5
501,4
502,0
503,6
504,0
505,4
506,4
507,2
508,4
509,8
510,6
511,2
512,3
513,1
