,ID,Model Year of Purchase,Age Bracket,Total # Children In Household,Children Under 6,Children 6 To 12,Children 13 To 17,People 18 or Older,Buyer Innovation Tendency - Statements that Best Describe You,I'm Curious and Open to Experiences,Luxury is Not Important Unless it Has Purpose,Driving is one of my favorite things to do,"When I drive for fun, I mainly prefer to relax and listen to music or talk",I want vehicles that provide that open-air driving experience,I prefer a vehicle that has the capability to outperform others,I prefer vehicles that provide superior acceleration,I prefer vehicles that provide superior handling and cornering agility,I prefer a balance of comfort and performance,"I prefer vehicles that provide the softest, most comfortable ride quality",I just want the basics on my vehicle - no extras,"I prefer vehicles that project a tough, workman-like image",Vehicles are a 'tool' or a part of the 'gear' in an active outdoors lifestyle,I want to be able to tow heavy loads,I want to be able to traverse any terrain,I make all large vehicle decisions with my family's best interest in mind,My vehicle gives me a feeling of adventure,My vehicle is my sanctuary,Fuel economy is a leading consideration in my purchase decision,"I want a basic, no-frills vehicle that does the job",I see my vehicle as an extension of my personality,Price is most important to me when buying a new vehicle,I will easily switch brands for price or features,There are lots of different brands of vehicles that I would consider buying,I want a vehicle that provides the quietest interior,I want to look good when driving my vehicle,I want my vehicle to stand out in a crowd,I want the most versatility in my interior,I would pay significantly more for environmentally friendly vehicle,My vehicle is a reflection of my achievement,I chose my vehicle to reward myself for my hard work,The brand of vehicle I buy makes a statement about who I am,Your Involvement in Purchase Decision (%),How Likely to Recommend Own Vehicle Brand,How Likely to Recommend Purchase Dealership,Overall Exterior Styling,Appearance of Wheels & Rims,Appearance of Tires,Headlight Design,Overall Exterior Workmanship,Sound of Doors/Trunk/Hatch Shutting,Overall Driving Performance,Fun To Drive,Ground Clearance,Riding Comfort,Maneuverability,Road Holding Ability,Handling,Overall Power and Pickup,Acceleration From Stop,Passing Capability,Overall Interior Styling,Interior Colors,Overall Interior Workmanship,Quality of Interior Materials,Instrument Panel,Overall Interior Design,Ease of Front Seat Entry,Front Seat Roominess,Passenger Seating Capacity,Interior Storage,Interior Roominess,Cargo Capacity,Cupholders,Ease of Loading/Unloading Cargo,Comfort of Front Seat,Driver Seat Adjustability,Driver Armrests,Seating Versatility/Stowaway,Overall Performance of Sound System,Overall Quietness,CVT,Smoothness of Transmission,Overall Impression of Durability/Reliability,Overall Safety of the Vehicle,Overall Thoughtful Engineering,Placement/Ease of Reading and Using Controls,Electronic Displays of Information,Usefulness of Trunk/Cargo Area,"Flat Tire Preparedness (spare, run-flat, etc.)",Safety Features,Front Visibility,Rear Visibility,Braking,Overall Value for the Money,Price/Deal Offered,Future Trade-In or Resale Value,Warranty Coverage,Technical Innovations,Level of Standard Equipment,Fuel Economy/Mileage,Affordable to Buy,Overall Environmental Friendliness,Overall Brand Image,Reputation/Prestige of Manufacturer,Past Experience With Brand,Dealer Location,Dealer Reputation,Overall Experience with Selling Dealership,Overall Experience with Service Department,Advertising/Promotion,Advice of Friends/Relatives,Magazine/Newspaper/TV Reviews,Overall Seat Comfort,Overall Interior Versatility,Overall Image of the Vehicle,4WD/AWD Availability,Navigation System,Discount/Rebate/Incentive,Towing Capability,"Interest Rate, Credit Terms",Leasing Terms,Audiovisual System,Ease Of Customizing,Engine Performance,"Connectivity (WiFi, Bluetooth, etc.)","Interactive Information System (OnStar, mbrace, iDrive, etc.)",Driving Distance on Full Tank/Charge,Family needs changed,Previous vehicle was damaged or had to be replaced,Wanted a vehicle with a new image,Impulse - I just wanted a new vehicle,New model caught my attention,Previous vehicle too old/needed repairs,Changed/Moved to a new location
ID,1.0,0.0825795772686,0.0878707826821,0.0318990578127,0.0307885030868,0.0299392029858,-0.00365815614284,-0.0062233521988,0.0109103722249,-0.0182079275363,-0.0810037488295,-0.0158463959807,-0.00103475646523,0.0189230934513,0.0303183778804,0.0149801147304,0.00808308525893,0.0505474246862,0.0665855790347,-0.112731315285,0.0103806464341,-0.0165824414605,0.0635389438527,0.0981212082242,0.108598555667,0.00436312270309,-0.0187422376399,-0.170529957215,-0.12746763555,-0.0233944466362,-0.0833516957789,-0.000840960838087,0.0155249723576,0.0756097801847,0.0226495471833,0.0285557839371,0.0674843119653,-0.0558771362228,0.0168477491464,0.0154335371138,0.00194289760895,-0.0172621527463,-0.0283569295855,0.0086796100788,0.101511147063,0.0424879793491,0.0332136065113,0.0486332192526,0.0788111470636,0.0532214933038,0.0583521057042,0.0423728524227,0.110524903564,0.122485140931,0.0591809722994,0.0637430456776,0.0657474362112,0.0701306408916,0.0399229103177,0.0519596941935,0.125062070865,0.10379836014,0.105300733056,0.112955191792,0.0684588175452,0.115810729016,0.104820650047,0.100833133929,0.112533102585,0.142040089445,0.119181523592,0.154175778532,0.0508345604365,0.159376669977,0.103702891616,0.0985950955348,0.0752529772555,0.114625090032,0.0449140355932,0.0916812640534,0.0249348111959,0.0240673638276,0.0359646121406,0.0680239494822,0.0258856421819,0.0523454298659,0.0644644285805,0.143212241111,-0.00235367374004,0.0693088892175,0.0527240643175,0.0420746778841,0.0347427718408,-0.0241757989454,-0.00841166242293,0.0352319071325,0.0194549525912,0.038537273433,0.0471327021132,-0.108354093239,-0.0645417207467,-0.0524856158451,0.0279073009966,0.0292655659206,-0.019316323095,0.00596429023695,0.0125178897383,0.0224452897909,0.0175865788982,-0.0141432799323,-0.0202766011265,-0.00439428307883,0.103288284375,0.103466211811,0.0547842115675,0.275015664675,0.137126740991,-0.023471616647,0.11452381338,-0.0312557480181,-0.0303319965484,0.0335980987728,0.0477625932255,0.029960008006,0.0550842543757,0.065507399309,-0.0559548993626,0.065305811718,-0.0657023463677,0.000365360479793,-0.00618320630864,-0.00263803585047,-0.0120959998812,-0.00439310036057
Model Year of Purchase,0.0825795772686,1.0,0.0899932606229,-0.0421116793966,-0.0301882439449,-0.0323709574399,-0.011657450545,-0.00540296155881,0.0764690700939,0.00727696826624,-0.0417303994885,0.0125807378883,-0.0283779567559,-0.00697425563175,0.0438720899454,0.0250781465883,0.0372958878499,0.0190895863272,-0.0775560553392,-0.105998578627,-0.0471056746913,-0.0399651693375,-0.0461675202354,-0.0198294953711,-0.00537706144951,0.0277545377439,0.0039406847219,-0.134583967984,-0.121063220547,0.0160204805463,-0.143654341782,-0.112015814352,-0.0888133758515,-0.006940855274,-0.00284512047784,0.0350012689925,0.0258938733938,-0.012313942558,0.00851396758084,0.0141880880124,0.0335383631021,0.0201651697957,0.0262816191585,0.0169546508311,0.0912273258354,0.0551196929937,0.0219487722267,0.0615514009645,0.0967608131244,0.0433609805948,0.0623531490512,0.0853655143637,0.0142151629592,0.0289366986936,0.0493761744184,0.0574080441531,0.0606505899947,0.0527001950604,0.0320555815868,0.0459803918676,0.083130466554,0.0531790146553,0.0890973555682,0.0857576720056,0.0582683608896,0.089085795963,0.0300681656171,0.0278875470577,-0.00464586598621,0.0272396048079,0.0138088380846,0.03104277696,-0.000277533709423,0.0350394481569,0.0510227517592,0.0481621183855,0.019149770493,0.0250990491786,0.0280207994472,0.0514334502457,-0.0520754863969,0.0117475725667,0.0579166297033,0.0687550991583,0.0776862347526,0.0560192501724,0.0614672582299,0.0365120433536,-0.0249315591086,0.061259393171,0.0526533175803,0.0336976025253,0.0344324284771,-0.0503920487985,-0.0751228804345,-0.0127080907607,-0.00578963069609,0.0664674514423,0.0517609413556,-0.0747314027018,-0.0921444148239,-0.0279461649939,0.0373553569709,0.0364903848697,0.0311442147397,-0.0183117782185,-0.00493001464477,0.00429549834798,0.0172322253913,-0.0879987725313,-0.0651477350722,-0.0133626982111,0.0413236858064,0.0445849881356,0.0391444048656,0.0831148736768,0.0743167921719,-0.125636614135,-0.0186766410319,-0.12823262193,-0.0464554857477,0.0442595604623,0.0138049033053,0.0271912293924,0.0574033152191,0.0686408979996,-0.0563338225908,-0.0157554483708,-0.0522189711243,0.0260180612065,0.000961117345989,0.00126141713249,-0.00985189607353,-0.00805941446634
Age Bracket,0.0878707826821,0.0899932606229,1.0,-0.312607909342,-0.285845236218,-0.197881803128,-0.0930877190842,-0.0447373894829,-0.20712985988,-0.192131921659,-0.0542773329877,-0.0228983765712,-0.153366496337,-0.146449415437,-0.128485943335,-0.121111207972,-0.0165832000548,0.00280107761386,-0.0668979675289,-0.126083072087,-0.102432237302,-0.127082974909,-0.167399244532,-0.229901556433,-0.10348933626,-0.160883456673,-0.201089927924,-0.0735850477084,-0.127117957917,-0.194650016226,-0.174932598983,-0.164879051636,-0.155013474184,0.0776400704202,-0.207899264712,-0.144925381389,-0.0856735083641,-0.0920291770691,-0.225768739751,-0.204713996822,-0.154348133746,-0.00371292148895,-0.00981350032142,0.0427232647223,-0.0608387654542,-0.053788653822,-0.0661538639127,-0.0763358146835,0.0207640618333,0.134890298334,0.00633952029663,-0.00303713560179,-0.0201949135601,0.01928576081,0.0377131072525,0.0656848883082,0.0491090840137,0.0333804499407,-0.0339765969108,0.0436550311398,-0.0133315055278,-0.0199941913659,0.0399027599955,0.0366638321541,0.0779393917897,0.0119459234625,0.117624403838,0.0800525112181,-0.0893420059167,-0.0474285573982,-0.0454361968773,-0.0112127645785,-0.0232570102211,0.0273603995788,0.0757078102624,0.110225647792,0.0541716099346,-0.00856584795352,-0.0449629551595,0.0901630049453,0.00466838782207,0.0275265401136,0.0275593851953,0.0432082806147,0.052225673891,0.0612971667204,0.0243254301452,0.00432800399183,-0.0590151736849,0.0498136416942,0.0713310819347,0.0596673397435,0.0564778987068,-0.0196655339097,-0.0299159426102,0.0020529550766,0.0583449763124,-0.0255909381551,0.0167369558353,-0.0469222726988,-0.0595300508459,-0.00834964638512,0.0152038164946,0.0416290488352,0.0367531762937,0.0456566259939,0.0843824052061,0.0451740198812,0.0677795092319,-0.113762820297,-0.220430171863,-0.110544009766,0.0565785501265,0.00828155542584,-0.0103286705975,-0.0771375841833,0.0641481567898,-0.070330977016,-0.09035999711,-0.173168283909,-0.203588566914,-0.113110745487,-0.216708140834,0.011589990017,-0.0897643875839,-0.00788621685416,-0.063092854448,-0.118153624496,-0.104118822367,-0.0447372791904,-0.0265014426356,-0.011029354837,-0.0063279946556,-0.00555064059706
Total # Children In Household,0.0318990578127,-0.0421116793966,-0.312607909342,1.0,0.536749181391,0.714725803411,0.585449740161,0.0213217547318,0.0897381001704,0.0496232609903,0.00695702090532,0.00445940449668,0.0229692630306,0.0513616281673,0.0768705231318,0.0661011390782,-0.00500703265438,-0.0111339563653,0.00607831605735,0.0395510480949,0.076761882246,0.0623288207435,0.112022660525,0.113611959319,0.203908142477,0.0330772175447,0.0485048908642,-0.0121895913031,0.0508900055186,0.0445152815792,0.0459970677856,0.079298761203,0.0909425206469,-0.0179986837123,0.0734428399802,0.0550907644702,0.0474473889816,0.0251092890784,0.07874265398,0.0456630009919,0.0507475596727,-0.0334279512117,-0.0274927328216,-0.0156353970595,0.00123533375888,0.0301278958739,0.0388325653398,0.012959402905,-0.0205293522302,-0.0334444722035,-0.0398488981667,-0.0353465946757,-0.0225846865831,-0.0300774714414,-0.0540952802121,-0.0503644853775,-0.0554184991162,-0.0208224053496,0.00439366288511,-0.0306229359961,0.0104080395886,-0.000294269890868,-0.016089984598,-0.013545714004,-0.0300984507527,-0.00992990376345,-0.0700011896189,-0.0495838543581,0.154950402226,0.0377111536504,0.0666467032403,0.0163336456893,0.0095405235401,-0.00700946752438,-0.0560879818014,-0.06655547764,-0.0318638322926,0.0210507215324,-0.0160581578681,-0.0383762767639,-0.0052373330631,-0.0268192887968,-0.0353323688793,-0.00989821189228,-0.0325462129472,-0.051131901074,-0.0256801401004,0.000355882549296,0.000409069796028,-0.00869555249424,-0.0606688799101,-0.0515371167124,-0.0574231979979,-0.0368232456082,-0.022954792113,-0.0200998174678,-0.0461030723835,0.0100484869903,-0.0134796744126,-0.0237365178157,-0.0269356905925,-0.0394878274898,-0.0124745222844,-0.0228507889469,-0.0200847213599,-0.0173390845846,-0.0488245322308,-0.0276081025856,-0.0416908382209,0.0530749890533,0.0540565768341,0.0462761082154,-0.0487215345462,-0.00267664559436,-0.019908543876,0.0443760593643,-0.00726936920136,0.012340957484,0.059048927348,0.0498416740277,0.0953056339935,0.0271003564467,0.0837272420185,-0.0226300774388,0.0168259584766,0.0185428690643,-0.0179480925751,0.175294913135,0.0135426045879,-0.00537181285125,0.000907914305684,0.00132301465793,0.00241564043317,0.00927187676434
Children Under 6,0.0307885030868,-0.0301882439449,-0.285845236218,0.536749181391,1.0,0.114707439973,-0.0261990267364,0.0147705562754,0.0713260632123,0.0484427041342,0.0297605797453,0.0148198556363,0.00716492806491,0.0337863042488,0.0498935287757,0.0405563626331,0.000678208350884,-0.00757217770075,0.00689999651441,0.0506272465765,0.0665331842394,0.0541190987314,0.0971604102606,0.100986744789,0.14207271955,0.0310660076754,0.0338802635115,-0.00159198735084,0.0593834592431,0.0170558015056,0.0405871234813,0.0746538343491,0.0803176819092,-0.0135980736163,0.0537817874759,0.0345634707706,0.0390445456667,0.0351291624746,0.0658325137757,0.0405188609654,0.0392825605168,-0.0360307845947,-0.0273010188969,-0.0276351919819,-0.0118875808957,0.0072761531008,0.0092214976922,0.00554554244818,-0.0291336292516,-0.0353386528287,-0.0387272932135,-0.0393087614243,-0.0116721462667,-0.0280369236374,-0.0421492650676,-0.0394723638178,-0.0419148223326,-0.0328692004991,-0.00922253894314,-0.0312276858663,-0.00384980217362,-0.0125298753117,-0.0245670760834,-0.0183824158867,-0.0283415333543,-0.015442669372,-0.0496440175195,-0.0389214010495,0.108015078864,0.0518954916767,0.0588352180993,0.040004903043,-0.0108188572412,0.0235432908775,-0.0506749026842,-0.0580859917384,-0.0255916404673,0.024137255893,-0.0260271914798,-0.0326071434326,-0.013565169778,-0.0255630475207,-0.0357096034158,0.000611732176757,-0.0251660665619,-0.0400234561472,-0.0177116711192,0.0289755057257,0.00113960056115,0.000249958460517,-0.0407759394366,-0.0350826375405,-0.0322632956416,-0.018209908289,-0.0184192509698,-0.00710384007829,-0.0388094274235,0.0069065957634,-0.0148997959136,-0.0203399039945,-0.0166595826361,-0.0217042017623,-0.0208694339084,-0.0241438203204,-0.0108162665308,-0.029810283931,-0.0445881802538,-0.026717952699,-0.0407805160547,0.0440419548423,0.0550435272693,0.0449673781344,-0.043711690825,0.000243946121218,-0.0227843482895,0.0384733304969,-0.0146267657089,0.0158034280467,0.0458129504533,0.0459013167446,0.0803513176691,0.0246025215988,0.0688820196745,-0.0210956485298,-0.00105725275545,0.00737796862873,-0.00708914486197,0.206246061949,0.0198642653282,-0.00910054227016,0.0105847063354,0.0123141199575,0.00226880759917,0.0106772846301
Children 6 To 12,0.0299392029858,-0.0323709574399,-0.197881803128,0.714725803411,0.114707439973,1.0,0.147209191264,-0.0162439379025,0.0599905161597,0.0313432571858,0.00224437768472,-0.00237383420543,0.0147632752276,0.0294013641597,0.0462655205753,0.0428609433868,-0.00605967358768,-0.0133694089213,0.00453134440173,0.0183637527196,0.0482277155546,0.0436371463677,0.0726087554676,0.0709090427798,0.141574862006,0.0189285932943,0.0272734388182,-0.00868971241178,0.0290235537808,0.0273105143164,0.027937678625,0.0463762474648,0.0486827768118,-0.0143715193334,0.0451695626731,0.0360531957946,0.0278798915038,0.0190526252523,0.0488579938455,0.0320648147675,0.0302516016548,-0.024378319769,-0.0228525925089,-0.0133614518024,-0.00112565333843,0.0194637726296,0.0304699554516,0.0122999527798,-0.0128122631591,-0.0232106848995,-0.0265185101201,-0.0214952234538,-0.00857377458504,-0.0189476576458,-0.0379550257094,-0.0393996571204,-0.0407840209505,-0.0126912974689,0.00046722156156,-0.0208904034742,0.00625602826044,0.00145294948749,-0.0111486771482,-0.0106309827091,-0.0242301795834,-0.00731382579482,-0.051563394254,-0.0400350349216,0.104695509954,0.0210156317557,0.0416133519706,0.0053440858227,0.00865770453063,-0.0107149622629,-0.0378429481424,-0.0437534689249,-0.0244007451879,0.013145980409,-0.0112558795071,-0.0289290681064,0.00115726009806,-0.0197270868973,-0.0281421791595,-0.0113822845189,-0.025268885641,-0.039099076464,-0.0224103043659,-0.00272878791928,-0.00181343112581,-0.0133515591184,-0.0450711042204,-0.0434738347757,-0.0484244978619,-0.0365674303135,-0.0241350224688,-0.0172842826469,-0.0398074901001,0.00184135566461,-0.0121586839108,-0.0132080894775,-0.0218604104599,-0.0269878360046,-0.0115803221408,-0.0190813578056,-0.0132252276994,-0.00830780384232,-0.0344821797266,-0.0247641883466,-0.0294491086304,0.0330567730863,0.0273677627362,0.0276775307907,-0.0343674184846,-0.00489024824285,-0.0148784597985,0.0208949057941,-0.0086144201005,0.00258099399788,0.0398090683211,0.0296209990064,0.0583747215174,0.0195754710265,0.0513512508286,-0.0124482047712,0.0106318510632,0.0119707719655,-0.0143967791681,0.0616253976803,0.000504313136467,-0.00390661745818,0.0039937909854,-0.00479715773414,0.000726633930049,0.00842896324166
Children 13 To 17,-0.00365815614284,-0.011657450545,-0.0930877190842,0.585449740161,-0.0261990267364,0.147209191264,1.0,0.065570293561,0.0369574140997,0.00762496480971,-0.0193877548762,-0.0105778543457,0.0128358321108,0.0268918950456,0.0419966758405,0.0343009696456,-0.00733400470173,-0.00835617981689,-0.00654769379912,0.00214973862533,0.0245562627868,0.0133966383604,0.0371910592087,0.037403882563,0.0852154910958,0.00643771504848,0.0240824482383,-0.0162618812528,0.0030900738237,0.0318052395781,0.013939092972,0.0243696800268,0.0379278704927,-0.0113367911159,0.0305210235776,0.0233394148215,0.0147706873161,-0.00973015632424,0.0289731185143,0.00738309956231,0.0203684241157,-0.0068364031726,-0.0164169690452,0.000144655883979,0.0102652660393,0.0268058249849,0.0282441448599,0.00424667596303,-0.00108604479712,-0.00320943581953,-0.0154174993616,-0.00824959129196,-0.0235795684505,-0.0132849103028,-0.0246811578796,-0.0168198265943,-0.024616685206,0.00306905289148,0.0127369194777,-0.00677593250492,0.0125249016041,0.00612275328123,0.00187218025449,-0.001404191361,-0.00625223424464,0.000546734786307,-0.0305913685509,-0.0146623232235,0.0661091163547,-0.00642288769699,0.0186857265601,-0.0172908225955,0.0171878280213,-0.0259733375513,-0.0193348879838,-0.0240371671131,-0.0109262259871,-5.83585455261e-06,0.00356447944245,-0.0114066394686,7.31783706345e-06,-0.00675488155525,-0.0147735254593,-0.019469174642,-0.0192792821958,-0.0243734498397,-0.0136516586599,-0.0265333427258,-0.00341621052026,-0.0159866770533,-0.0368966608126,-0.0273001021339,-0.0347880607374,-0.0243267500612,-0.00984265664578,-0.0193835017941,-0.014833300469,0.000519597307444,-0.00684415545368,-0.0217162796141,-0.0202053558003,-0.0294756307309,-0.000270346005844,-0.00729492028881,-0.0179077639477,-0.00109650160324,-0.0173578314919,-0.00779644497494,-0.0132282269217,0.0158300953713,0.0139984124962,0.0097682318054,-0.0173578681552,-0.00425777528968,-0.0092602052382,0.0190319814317,0.00470201974173,-0.00201726454359,0.0186952481965,0.0114090309649,0.0335020319443,0.00283653382315,0.0306567297706,-0.0137568240333,0.0178156619558,0.00850783662851,-0.0211441881694,0.0617068995842,0.00518988054334,0.00215407554824,-0.0129073816327,-0.00387719353999,0.00150967706515,-0.00224827361328
People 18 or Older,-0.0062233521988,-0.00540296155881,-0.0447373894829,0.0213217547318,0.0147705562754,-0.0162439379025,0.065570293561,1.0,0.00480058933162,-0.00705571492339,0.000681764066211,0.0233434423596,0.0282649221753,0.00478541257081,0.00844820053305,0.00586823554075,0.00516984203523,0.00504252187516,0.00911237435362,0.0129170175094,0.0225399504292,0.0233117536999,0.0262627853909,0.0318526706477,0.0765811059614,0.0120074702931,0.0171315251342,0.00816857034319,0.0131699581079,0.00206018532449,0.0218727726043,0.0114735674851,0.0134562233223,-0.00222818664351,0.0021766161101,0.00658181361361,0.0119881770772,-0.0134298084266,0.00899899707589,-0.000957307122532,-0.00683337454772,-0.037505261273,0.0174713363304,0.0149961802061,0.00640779070699,0.0173978401922,0.0230158743066,0.0184555574204,0.00745961529278,0.00953831834545,0.00172115192192,0.000496421053742,0.00121287876522,0.00693329892209,0.000373676209803,0.00164293091775,-0.00185494389219,-0.00299662707832,0.00212812829821,-0.00509644786579,0.0047963691032,0.00297527691124,0.00390142893684,0.00304402243227,-0.00272979988612,0.000920259930067,0.00669040154194,0.0126919748872,0.0395027776734,-0.00203836092705,0.0267776426209,-0.00900009429197,0.0088090073267,-0.0051269997013,0.0141740825842,0.00920986206612,0.00303715471548,0.00406635157109,0.00284315311701,0.0039868869746,0.00191945154599,0.0163026351226,0.0130398150824,0.00313215606364,0.011429124384,0.00232170800001,-0.000405734851896,-0.0114635961256,0.00927198245438,0.000629426847724,-0.00239157510468,-0.00482924696022,0.0029378601283,0.0174747246879,0.0245954480694,-0.0041396724099,0.00699309685544,-0.00243525524586,0.00427821487722,0.00994915867141,0.014466345264,-0.00634024882821,0.00471097985673,0.000726162462127,0.00469990006334,-0.00744535249136,0.00921073588762,0.0138162534276,-0.00648088644132,0.0210886315203,0.00640489735028,0.00644578110403,0.0165320659583,0.00870645295101,0.00643982041439,0.0146720081841,0.00284737614463,0.0240947190704,0.0116398306388,0.0329257838908,0.0187895921102,0.00158667523671,0.0140736931525,0.00835931900342,0.00375319432271,0.00770245715764,0.0093093564109,0.0487457673895,0.0237670121906,0.00638187646466,0.00112486238016,-0.000255147075225,0.00662028311178,-0.0068002750114
Buyer Innovation Tendency - Statements that Best Describe You,0.0109103722249,0.0764690700939,-0.20712985988,0.0897381001704,0.0713260632123,0.0599905161597,0.0369574140997,0.00480058933162,1.0,0.300521900425,-0.0585766215581,0.142569623182,0.112142105856,0.127826590266,0.204021843759,0.179972691479,0.136599375141,0.0921723529222,-0.00188002090825,-0.143402040696,-0.0054371875613,0.0153844193042,0.0452677508927,0.0916529819359,0.0370729913042,0.161571007956,0.164470828135,-0.0801827644235,-0.144674739635,0.181821366022,-0.0677634168698,0.00831532351706,0.05154924821,0.032366596433,0.189310444652,0.228350115623,0.158699858213,0.104671599148,0.185228342061,0.18706228224,0.190188045059,0.0494870080186,0.0845160720346,0.0371774686061,0.163305047857,0.147669449094,0.118080596033,0.158698904809,0.150231847374,0.0748741041641,0.0807269197584,0.149200589136,0.0490973168875,0.0602504564251,0.0666409062366,0.0665474136581,0.0702195412274,0.103517081543,0.116061054028,0.104638222014,0.154132049929,0.11099289931,0.137977627837,0.125018352464,0.112944879664,0.147516484347,0.0456189433872,0.0600181537461,0.0729499458106,0.0675369988617,0.0721438434152,0.047583732877,0.0717595362807,0.0516546776171,0.0791300799031,0.0636849882842,0.0709003403265,0.0757729187127,0.147889472002,0.0863952420107,0.0305854517124,0.0728791897508,0.0708776053143,0.0608205826511,0.107307194271,0.111878826252,0.156435215929,0.0575147479365,0.0273492692711,0.062628311825,0.0428456976827,0.0196604468879,0.0478893990469,0.005479623344,0.00745755982976,0.0326303804095,0.0286530352826,0.226804914651,0.123899571405,0.00147466711198,-0.0259649640076,0.0461006603131,0.0835103709379,0.064371809192,0.0360805726421,0.00571030090915,0.0175342140516,0.0338772187705,0.0325080102145,0.0392028222145,0.0265621931795,0.0693838467628,0.0769930177213,0.0949625517068,0.110115919685,0.0873969889546,0.135702287927,0.0250745533254,0.047952998745,0.0458734065911,0.101106959726,0.17070566379,0.125835274888,0.0767367266932,0.218042019065,0.137946233867,0.0198746477203,0.0240768926502,0.00987564727947,0.0768843316203,0.021438943036,-0.000385627944801,0.00217904088882,0.00463043415129
I'm Curious and Open to Experiences,-0.0182079275363,0.00727696826624,-0.192131921659,0.0496232609903,0.0484427041342,0.0313432571858,0.00762496480971,-0.00705571492339,0.300521900425,1.0,0.174388654312,0.261161630459,0.275195662848,0.293303099668,0.310846258475,0.305831951008,0.288538559064,0.267440960592,0.155345971603,0.0141885194413,0.148371664644,0.217499370596,0.177245270624,0.236592890081,0.162729291239,0.378243872072,0.32239559767,0.111468425766,0.0240929448421,0.334729503996,0.100699992892,0.156631622396,0.192879066532,0.215537438611,0.337493365143,0.351617457403,0.354791184908,0.259175960292,0.339574846859,0.332032491676,0.316286886795,0.0466543300356,0.117976262706,0.0815050211421,0.212512776791,0.197590100383,0.189616652611,0.219515435498,0.209055881901,0.133861026806,0.169891717886,0.225562020379,0.165296754069,0.166382998308,0.182938123457,0.178570022884,0.185250914542,0.190863741121,0.196796927971,0.191887111396,0.223018119084,0.189775936619,0.21667325138,0.215944495077,0.193615214608,0.222415946582,0.142229733366,0.152110668173,0.172705223769,0.177002828892,0.178408431106,0.157778715078,0.164629593583,0.162958994934,0.188243165261,0.169256807612,0.161614190491,0.190380806737,0.236549362015,0.180335773741,0.140017772823,0.189323827485,0.196937700957,0.162324632278,0.230031681074,0.213417969244,0.22365364234,0.172085408889,0.166508657067,0.165637345954,0.167960531715,0.150588005698,0.171536334338,0.151897091986,0.128433227389,0.129449135671,0.140432601209,0.272521510404,0.227319440451,0.14315039917,0.123630990853,0.189133941257,0.157941733832,0.151064313155,0.077388338356,0.0918073591947,0.122537116094,0.139265965478,0.137280132013,0.141802974203,0.152616027195,0.18235394878,0.182696817404,0.21095591188,0.191751965606,0.158207557009,0.170933443128,0.125715304561,0.166762981898,0.14517633466,0.160889851712,0.229256598256,0.221941982963,0.189650156093,0.253173424261,0.195176530221,0.153304248857,0.0221792239825,0.0287930446273,0.087001100621,0.0161959031069,0.00797363636092,0.00415167178292,0.000303549629537
