,ID,Model Year of Purchase,Age Bracket,Total # Children In Household,Children Under 6,Children 6 To 12,Children 13 To 17,People 18 or Older,Buyer Innovation Tendency - Statements that Best Describe You,I'm Curious and Open to Experiences,Luxury is Not Important Unless it Has Purpose,Driving is one of my favorite things to do,"When I drive for fun, I mainly prefer to relax and listen to music or talk",I want vehicles that provide that open-air driving experience,I prefer a vehicle that has the capability to outperform others,I prefer vehicles that provide superior acceleration,I prefer vehicles that provide superior handling and cornering agility,I prefer a balance of comfort and performance,"I prefer vehicles that provide the softest, most comfortable ride quality",I just want the basics on my vehicle - no extras,"I prefer vehicles that project a tough, workman-like image",Vehicles are a 'tool' or a part of the 'gear' in an active outdoors lifestyle,I want to be able to tow heavy loads,I want to be able to traverse any terrain,I make all large vehicle decisions with my family's best interest in mind,My vehicle gives me a feeling of adventure,My vehicle is my sanctuary,Fuel economy is a leading consideration in my purchase decision,"I want a basic, no-frills vehicle that does the job",I see my vehicle as an extension of my personality,Price is most important to me when buying a new vehicle,I will easily switch brands for price or features,There are lots of different brands of vehicles that I would consider buying,I want a vehicle that provides the quietest interior,I want to look good when driving my vehicle,I want my vehicle to stand out in a crowd,I want the most versatility in my interior,I would pay significantly more for environmentally friendly vehicle,My vehicle is a reflection of my achievement,I chose my vehicle to reward myself for my hard work,The brand of vehicle I buy makes a statement about who I am,Your Involvement in Purchase Decision (%),How Likely to Recommend Own Vehicle Brand,How Likely to Recommend Purchase Dealership,Overall Exterior Styling,Appearance of Wheels & Rims,Appearance of Tires,Headlight Design,Overall Exterior Workmanship,Sound of Doors/Trunk/Hatch Shutting,Overall Driving Performance,Fun To Drive,Ground Clearance,Riding Comfort,Maneuverability,Road Holding Ability,Handling,Overall Power and Pickup,Acceleration From Stop,Passing Capability,Overall Interior Styling,Interior Colors,Overall Interior Workmanship,Quality of Interior Materials,Instrument Panel,Overall Interior Design,Ease of Front Seat Entry,Front Seat Roominess,Passenger Seating Capacity,Interior Storage,Interior Roominess,Cargo Capacity,Cupholders,Ease of Loading/Unloading Cargo,Comfort of Front Seat,Driver Seat Adjustability,Driver Armrests,Seating Versatility/Stowaway,Overall Performance of Sound System,Overall Quietness,CVT,Smoothness of Transmission,Overall Impression of Durability/Reliability,Overall Safety of the Vehicle,Overall Thoughtful Engineering,Placement/Ease of Reading and Using Controls,Electronic Displays of Information,Usefulness of Trunk/Cargo Area,"Flat Tire Preparedness (spare, run-flat, etc.)",Safety Features,Front Visibility,Rear Visibility,Braking,Overall Value for the Money,Price/Deal Offered,Future Trade-In or Resale Value,Warranty Coverage,Technical Innovations,Level of Standard Equipment,Fuel Economy/Mileage,Affordable to Buy,Overall Environmental Friendliness,Overall Brand Image,Reputation/Prestige of Manufacturer,Past Experience With Brand,Dealer Location,Dealer Reputation,Overall Experience with Selling Dealership,Overall Experience with Service Department,Advertising/Promotion,Advice of Friends/Relatives,Magazine/Newspaper/TV Reviews,Overall Seat Comfort,Overall Interior Versatility,Overall Image of the Vehicle,4WD/AWD Availability,Navigation System,Discount/Rebate/Incentive,Towing Capability,"Interest Rate, Credit Terms",Leasing Terms,Audiovisual System,Ease Of Customizing,Engine Performance,"Connectivity (WiFi, Bluetooth, etc.)","Interactive Information System (OnStar, mbrace, iDrive, etc.)",Driving Distance on Full Tank/Charge,Family needs changed,Previous vehicle was damaged or had to be replaced,Wanted a vehicle with a new image,Impulse - I just wanted a new vehicle,New model caught my attention,Previous vehicle too old/needed repairs,Changed/Moved to a new location
ID,1.0,-0.0121725791955,-0.00585631828734,-0.00455618271891,-0.00753149785849,-0.00384994545079,0.00406826407485,-0.0105372358157,0.0796595811499,0.05812212043,-0.0232274322231,0.0308908984998,0.0206420936033,0.0206053501131,0.0651294950903,0.0794896423162,0.0726505876493,0.00759993010699,-0.0959768520506,-0.0605265489319,-0.0714198901775,-0.0513787931005,-0.0574177205475,-0.0688476210689,-0.0491603762268,0.0584470037039,0.0231066092961,-0.0605986530064,-0.0867217165463,0.0648339557485,-0.082772891823,-0.0221947417903,0.0238801708027,-0.048130775001,0.0256597548542,0.083774902974,0.00474029515757,0.00510828579671,0.0166377426273,0.0324610546606,0.0505625199289,0.00410994953479,-0.0152268901269,-0.0123395333343,0.0738209005486,0.0423374750102,0.0224054957408,0.036439100215,0.0544497901146,0.0148788873496,0.0500443057245,0.105357834209,-0.0503245584497,-0.0135128418396,0.0476689539085,0.0341794098584,0.0429279423301,0.0699294166485,0.0565840184787,0.0525212447934,0.0494956967685,0.0355753029367,0.0547919467399,0.047324460128,0.00971131354335,0.0485178016784,0.00267542892311,-0.00310313226419,-0.0261410963243,-0.030019001883,-0.0199130709853,-0.0351926567854,-0.000917331508053,-0.0127950881782,0.020175978251,0.00894946654746,0.000487358173193,-0.015520927129,0.031508871944,-0.0217197424201,-0.0848242483635,-0.0135486352346,-0.0165680171065,-0.00731940483518,0.0367585889096,-0.00162844283705,-0.00889001196307,-0.0289884284951,-0.0093167275446,-0.0142360996028,-0.00698277672226,-0.0264944315709,0.00620647113767,-0.0649976929807,-0.0396615867655,-0.0473643635942,-0.000344668657272,0.0189656957141,0.00814632785154,-0.0370417224289,-0.0630431962899,-0.0262086047497,-0.000635814051245,-0.00463086729132,-0.0467671551635,-0.0309833591724,-0.0254840947671,-0.014757122535,-0.00154319076089,-0.0224733080539,-0.0641146639102,-0.0180682262823,0.01403493998,-0.00779246295616,0.0214768992363,-0.0772620236108,-0.00242734381507,-0.00781235169268,-0.054544691853,-0.0176387335415,-0.0217620127468,0.00702657891682,0.0111729565203,0.0395548138403,0.0524667167129,-0.0510906833061,-0.0415018879865,0.0042531709027,-0.0116300240928,0.0306019332296,0.0153246873628,0.00112738923491,-0.00128402415048,
Model Year of Purchase,-0.0121725791955,1.0,0.0840867426054,-0.059217901034,-0.0252411818786,-0.0434116607651,-0.0352631865816,-0.00560985511657,0.0784274080238,0.00187652513277,-0.0215561934977,0.0127391347005,-0.0456156905964,-0.0346645466437,0.0268234495196,0.0220179257384,0.0347062920548,0.00529952307432,-0.108323287773,-0.111340565136,-0.0745754151429,-0.0430049390406,-0.081929341436,-0.0713102324531,-0.0308200576498,0.0358732094287,-0.00633558448724,-0.11515768295,-0.129757819943,0.0316252654235,-0.142173233779,-0.108752365091,-0.0916247573792,-0.0259226242035,-0.0222470928545,0.0352674502608,0.0206859915687,-0.0213055698909,-0.0328175707023,-0.00819779641359,0.00832511368458,0.0410836669338,0.0341040058272,-0.0159131211317,0.0969573532444,0.0649630554872,0.0166302303933,0.0609959093758,0.100218223018,0.0379072565888,0.0713799933088,0.102019088784,-0.0180774911047,0.00685929085735,0.0521260742959,0.0589041424016,0.0658369125945,0.0783390696124,0.0517954471872,0.0658310764919,0.0775289849077,0.0421892169351,0.0844901636394,0.079351110128,0.0696203717651,0.086940637373,0.017965923953,0.0196737649595,-0.0154211276992,0.0166593669829,0.0115386728084,0.0183610914197,-0.0182760565448,0.01933190531,0.0497288270321,0.038324164789,0.013837672603,0.014318881316,0.0226040969102,0.0361068867088,-0.064293477749,0.0100139191325,0.0628398143597,0.0630867256021,0.0841860500434,0.054207171036,0.0481348713886,0.0210123789667,-0.0420781057599,0.0563876729387,0.0551877597741,0.0298107106701,0.0405516494524,-0.00795306079906,-0.0454481349099,-0.0130655469721,-0.0148772636476,0.0610050778127,0.0483394638975,-0.0487326520114,-0.0481113845651,-0.0250018355629,0.0261794053098,0.0161673387146,0.0472905118554,-0.0446806733096,-0.0271937862555,-0.0178873283226,-0.0165499819343,-0.108180759346,-0.0836334481642,-0.00426541333079,0.0384018278084,0.0432850050132,0.0333010544012,-0.013048686575,0.0279969132952,-0.136116015382,-0.0643533456375,-0.133516620882,-0.0795443385787,0.0490484018641,-0.0181056234461,0.0435509794361,0.0400388493129,0.0308742260376,-0.0594804815595,-0.00573073371197,-0.0379092253947,0.0301038651797,0.000402013451209,-0.00128299447051,-0.0064005260104,
Age Bracket,-0.00585631828734,0.0840867426054,1.0,-0.253270448051,-0.232147672107,-0.165950455764,-0.0719120321745,-0.0683094615495,-0.212866099244,-0.224603846407,-0.0680237461705,-0.0609256204158,-0.182694009357,-0.179597587797,-0.171112227336,-0.162100015122,-0.0672909257103,-0.033193054403,-0.0962448927147,-0.119932875778,-0.130964786973,-0.151269301848,-0.211223731672,-0.26748195303,-0.0970987442858,-0.188062660392,-0.242449847703,-0.056467043781,-0.122169473748,-0.21370733085,-0.188660366983,-0.17273688949,-0.179993769313,0.0432953975861,-0.241032873755,-0.176105698353,-0.126392526827,-0.110787276382,-0.274158773846,-0.244055423436,-0.183980793661,0.0105025880259,-0.0210326772456,0.0266624222814,-0.0694348257138,-0.0816253694382,-0.0962677485609,-0.11272070002,0.00381794503754,0.0899943691953,-0.00831659479783,-0.0237048868711,-0.0795635287132,-0.0117950139251,0.00289176621913,0.0276634747614,0.0159102169594,0.00185728081011,-0.070550699401,-0.00543524492152,-0.033778629488,-0.0499003027871,0.0166743664303,0.0086022663522,0.047187882452,-0.00950180756062,0.0687346327166,0.0398816296256,-0.0912304861562,-0.0788278940563,-0.0592349365984,-0.0370744171774,-0.0735590654662,-0.0170799916543,0.045778276694,0.06271190607,0.00308482214674,-0.0437365708494,-0.0872494393149,0.0440619297882,-0.027593636641,-0.00688491883232,0.0043338132968,0.0402744138446,0.0294271851884,0.0287850813631,-0.016387064896,-0.0216302767568,-0.0816729235919,0.0479758733571,0.0520407519216,0.034986401369,0.037555776246,-0.0248673270594,-0.0393819267151,-0.0279168970803,0.0233982995708,-0.0558763201913,-0.00878277771457,-0.0440948221187,-0.0529459721155,-0.0313401771003,0.00666630297409,0.0372136714191,0.0254309076143,0.0213742180467,0.0572304208334,0.0148757602499,0.0429852290252,-0.145718439103,-0.257375207609,-0.133736122874,0.0283442006174,-0.0295482332868,-0.0182281082844,-0.176281030588,-0.00885834940515,-0.0703037140599,-0.15042390104,-0.164176185228,-0.228385367212,-0.132956540906,-0.265237134781,-0.0220303446422,-0.135967810563,-0.0728854357842,-0.0887980789662,-0.0671756393942,-0.109835597518,-0.0636743036761,-0.0208313763597,-0.00575000706489,-0.00406531486561,
Total # Children In Household,-0.00455618271891,-0.059217901034,-0.253270448051,1.0,0.559505621897,0.711255595417,0.600368819804,0.0399799784264,0.0607141308869,0.0442558111888,0.0176132968968,0.0234969784067,0.0296828212824,0.0670758931205,0.0829665396674,0.079076435382,0.0202751361618,0.00267187292051,0.0238782269374,0.048586084329,0.101474564077,0.0841633569001,0.122002160248,0.122893643438,0.19278237227,0.0308144662336,0.0519607638224,0.0238448835683,0.0730666319743,0.0315705884002,0.0810433509144,0.0839161391925,0.0948752181742,0.00233699183164,0.0760133104269,0.0503431985704,0.040005986695,0.0268959721828,0.0813697139455,0.0453589692694,0.0403873817437,-0.0533451335317,-0.0238790554598,-0.0144532801311,-0.0188292880371,0.021336012801,0.0394376236441,0.0091977671682,-0.0303666932335,-0.00913271200565,-0.0431424296645,-0.0375116189062,0.00699821028861,-0.0332448460721,-0.057396360177,-0.0452039857216,-0.0531303509947,-0.0177128946356,0.00923781692051,-0.0172425845005,-0.017840191996,-0.0126453534639,-0.030019751704,-0.0249159973139,-0.0390016065057,-0.0319092427894,-0.0539442675218,-0.0413771573943,0.102563602972,0.0156168229867,0.0355234371407,8.34948650256e-05,0.0156341018976,-0.0154012024141,-0.05237025117,-0.0540532641656,-0.0201794035431,0.00105173993981,-0.0129750919103,-0.023740166946,0.0201152235321,-0.0129074329184,-0.0451365839114,-0.026936539695,-0.0344440168892,-0.0521603571295,-0.0273967488547,-0.0141440996366,0.0178609487023,-0.0217000540104,-0.068014581813,-0.0559170868737,-0.0624775896714,-0.0327590762622,-0.0138005929455,-0.00925857284498,-0.0355707690981,0.00252901667556,-0.0182241923758,0.00028532473227,-0.008345569476,-0.0269493314494,-0.0193900052651,-0.0260823418958,-0.0129966552653,-0.0102513874771,-0.0375103871164,-0.0222333376892,-0.0343852898889,0.081480393738,0.0552601335996,0.053183793948,-0.0458047198233,-0.0157747082,-0.0325581884455,0.0494469029971,0.00492736028983,0.0298878860756,0.0532631734115,0.0531294011664,0.0897761007254,0.0200757419025,0.0763417619542,-0.0119800700367,0.0193910015896,0.0345315392312,0.00777328732755,0.145515349459,0.013998746293,-0.000273338088732,0.00386642834275,-0.00906703141821,-0.00344745259479,
Children Under 6,-0.00753149785849,-0.0252411818786,-0.232147672107,0.559505621897,1.0,0.150245038953,0.0115596569157,0.0279475200758,0.053488522188,0.0555651748986,0.0425482950632,0.0223923254914,0.0161464833288,0.0539834974235,0.0534014239401,0.0582263715212,0.0183910213368,0.00562414416472,0.0236208960111,0.0617978427569,0.0805155797884,0.0666062424102,0.109987009473,0.120557303743,0.128983843584,0.0348224859459,0.0419101486542,0.0271379502385,0.0826175852574,0.0167065300127,0.0630030025663,0.0823468656711,0.0974001839149,0.0121408507665,0.0584459822718,0.0353819764582,0.0354694100216,0.0526729617212,0.0637956901452,0.0451197308358,0.0354996813822,-0.0584135389056,-0.0318047772626,-0.0391047798149,-0.0221849834912,0.00408610474692,0.0135347139965,0.0101594719764,-0.0269327307032,-0.00665540162514,-0.0347968586981,-0.0272460209457,0.0290481945719,-0.0175163470742,-0.0284672622733,-0.0248756523576,-0.0299246760162,-0.0195770191437,0.0100081670439,-0.009485141931,-0.0131685575071,-0.00988881486565,-0.0242879099306,-0.0132540566369,-0.0239526741764,-0.019413863331,-0.0242705870546,-0.0204977392433,0.082988212716,0.0407982250731,0.0446997881435,0.0301469128746,0.010766597787,0.0214022233207,-0.0341280176763,-0.0387110361309,-0.00729601572953,0.023201080547,-0.0046865305985,-0.00825809003328,0.01045351177,-0.0061408364469,-0.0420568492095,-0.00441800586901,-0.0220628550783,-0.0221607031378,-0.0086488267006,0.0259159354873,0.0223922720127,-0.000775052921785,-0.0371127236433,-0.0268344875972,-0.0317266509437,-0.0202084327898,-0.0127550878936,0.000783173724282,-0.0213954762692,0.0131319076703,-0.00760649098278,0.00581566013498,-0.00133341338173,-0.00186528776356,-0.0126991275585,-0.0155327457708,-0.00568337582701,-0.00702662945988,-0.0287586643514,-0.0170732346309,-0.0300018865029,0.065031227289,0.0698010561929,0.0618096077456,-0.0288031534472,-0.00172594977094,-0.0249890202927,0.0554646987346,0.00115261398837,0.0234079205924,0.0572225811437,0.0407094189791,0.0829495958767,0.032985715195,0.0761646493487,-0.00126716751931,0.0128867731101,0.0291595173515,0.0154744308719,0.136953151494,0.0265668811214,0.00211274271053,0.0230417412096,-0.00739383959697,-0.00522752158185,
Children 6 To 12,-0.00384994545079,-0.0434116607651,-0.165950455764,0.711255595417,0.150245038953,1.0,0.150327311183,-0.00538225959034,0.036911606916,0.0300860519005,0.00953923292762,0.0100246767712,0.0180151815496,0.0339587264114,0.0524844438547,0.0561550079706,0.011602734642,0.00257086385919,0.0213580844381,0.0211527086703,0.0582841325303,0.0592120302322,0.0750629068299,0.0725708862421,0.132261872905,0.0187221090185,0.0275577952714,0.0136849982783,0.0351697077892,0.0219535680616,0.0484471655196,0.0476590503211,0.0429725949981,-0.00464873989388,0.0453109796732,0.0350258445946,0.0225583503171,0.0170401478649,0.0545246335617,0.0329883072589,0.0248286040278,-0.0390171676571,-0.0193356892177,-0.00977717119962,-0.0117144046814,0.0137227659607,0.0328234281779,0.00850928913872,-0.0216905278301,-0.00919658579222,-0.0239338366292,-0.024237890524,0.00872285753368,-0.0183981182474,-0.0371218437152,-0.0312947174541,-0.0321963467556,-0.0133789796871,0.00178172530921,-0.0167434061096,-0.0142488963721,-0.0096170115985,-0.0187744097886,-0.0190729872801,-0.029305716865,-0.0204724534434,-0.0356709136253,-0.029851359211,0.0681703402788,0.00821229458809,0.0212434465424,-0.00169492141399,0.0153919346478,-0.0106887770464,-0.0353318296255,-0.0319408433878,-0.0108330128234,0.0019803345659,-0.00870783656247,-0.0171231291904,0.0223575440226,-0.00296179395286,-0.0307842156835,-0.0224793410187,-0.0235639530583,-0.0434292727509,-0.030770010208,-0.00981633734504,0.0105155165984,-0.0216648707537,-0.0457399548975,-0.0457583323704,-0.0496078490057,-0.0330777698668,-0.0129352266798,-0.00939045298697,-0.032214209014,-0.00462958140315,-0.0176472693425,0.00467591671522,-0.0112145076525,-0.0152513583766,-0.0250649512469,-0.0242570511848,-0.00928791430283,-0.0101614378226,-0.0264167233769,-0.0174380698148,-0.0220164261609,0.0486168017334,0.0272171117581,0.0263669501911,-0.029617173848,-0.0111747701066,-0.0272447458914,0.0153155864477,-0.00242530550594,0.0181910671213,0.025771215379,0.0345929653503,0.0493717336201,0.0088672814067,0.0415037836068,-0.00157542383283,0.00902340165085,0.0235155233139,0.00698148018813,0.0434925126603,-0.00762391510016,0.00338486179666,0.00524122822503,-0.00846311288816,-0.00598350893231,
Children 13 To 17,0.00406826407485,-0.0352631865816,-0.0719120321745,0.600368819804,0.0115596569157,0.150327311183,1.0,0.0812698318369,0.0275401195161,-0.00132608858261,-0.0177921210928,0.0017987582934,0.0109852070682,0.0344071007535,0.0464504888453,0.0332728321963,0.00501336378899,-0.0119715210073,-0.00935608776242,0.00490759409477,0.0474468622447,0.0282247234974,0.0469689991692,0.0426010965557,0.0931941265345,0.00103579338406,0.0220999694408,-0.00506993609925,0.0156915203853,0.0153164581091,0.037366460995,0.0299725695644,0.0390926853297,-0.00750790733917,0.030567050387,0.0142604887901,0.00946017638685,-0.0179480715907,0.0331484183701,0.004102143924,0.0105749405218,-0.0183442663752,-0.0174652069929,0.00403734851834,-0.00130926587006,0.0231591493776,0.0276566628251,0.00072164087565,-0.00774500187035,0.00205941341338,-0.0236793503981,-0.0183359683257,-0.0205522121429,-0.0262816078845,-0.0403884429113,-0.0274686812117,-0.0368230589768,-0.000231093417443,0.0066903955662,-0.00439877374668,-0.00515638801808,-0.00260747647134,-0.0129136220383,-0.0132449264251,-0.017401079264,-0.0187504416363,-0.0383902741771,-0.0253074656706,0.0405261860063,-0.0164123449868,0.00191778240529,-0.0244428761993,0.00444919530524,-0.0352651439523,-0.0281264025963,-0.0297878618313,-0.017349554359,-0.0197621936846,-0.00938190795348,-0.01719298569,0.00545317264241,-0.0147879741672,-0.0293454159605,-0.0396979044813,-0.0334166966638,-0.0421956004109,-0.0204643855158,-0.0383293110704,-0.00591997307535,-0.0337231100363,-0.0598870445051,-0.0455283447776,-0.0505103516339,-0.025719557498,-0.018366161284,-0.018118328317,-0.0262203134136,-0.0146387257444,-0.0214945920522,-0.0277328050094,-0.02017027596,-0.0422984440435,-0.00936249508324,-0.0207275566875,-0.0177483373257,-0.00987149862392,-0.0252836619149,-0.0187104871892,-0.023075769005,0.0315952591776,0.00258450549865,0.00733350802101,-0.0267671709816,-0.0147579300422,-0.0206592617047,0.0187489950674,0.00461917368128,0.00330980851054,0.013575823595,0.0143104083559,0.0309405155509,-0.00126826319543,0.0211724918201,-0.0198046189508,0.0144826527736,0.00449106124517,-0.0222153338495,0.0938500035783,0.0084488517066,-0.00715771845973,-0.0198383840655,-0.000877321246239,0.0048256821353,
People 18 or Older,-0.0105372358157,-0.00560985511657,-0.0683094615495,0.0399799784264,0.0279475200758,-0.00538225959034,0.0812698318369,1.0,0.00336686989116,0.00305393045952,0.00422642897474,0.0429947472548,0.0415726328804,0.0210774568998,0.0308098957245,0.0277359273134,0.0197481430872,0.0243248347189,0.0275757615492,0.010430608362,0.0254399602106,0.0308930762924,0.0363878161882,0.0376709357889,0.079808714586,0.0222878524795,0.0256624490648,0.0133528688255,0.00740586707593,0.00822990850181,0.02911949082,0.00760202872689,0.0195386756596,0.00668514539283,0.00941431189888,0.010990000271,0.0230534378188,0.000355507619307,0.0301752985995,0.0172841326265,0.0108319368768,-0.0337756807523,0.0110494084935,0.00750850935617,0.0174876713226,0.0255804791375,0.0346245099547,0.0261156332967,0.0167041748806,0.0146190063129,0.00660847343789,0.0126322956276,0.00977885293325,0.0156634743538,0.00774981607328,0.00931347971097,0.0102672081103,0.00342562956345,0.0113623190661,0.00728474107922,0.00756748886795,0.0114129259508,0.0060246694635,0.00734136410577,0.00046184510724,0.00450606876519,0.0110795205692,0.0161390481837,0.0471108278611,0.00798818950773,0.0319700011889,-0.00366018957699,0.016945781596,-0.00342659695469,0.0186593902576,0.0136542043841,0.0124327800831,0.0050365735323,0.0138513442844,0.0152722390473,0.00986084795598,0.0287743726572,0.020067128317,0.0120597449062,0.0162741354951,0.00115428040628,0.00654883839566,-0.0118188622472,0.0183663221682,0.00566729751057,-0.000617144497451,0.00450620633847,0.0135443851667,0.0188616247979,0.0265548990591,-0.00359513365712,0.0061022407038,0.0159403545594,0.0109701237177,0.0168372048278,0.010226521578,0.000365282929719,0.0152032774415,0.0103850162728,-0.000663011245754,-0.0106964364832,0.00662913782396,0.0128281147118,-0.00913551196739,0.0207078375053,0.0232313995979,0.0120155146872,0.0245125351778,0.0151620024113,0.0183716917277,0.0187868681346,0.0185494375799,0.0257697516712,0.0124219998679,0.0290549475699,0.0283500730939,0.0151040948018,0.028050249671,0.0139968651451,0.0200786833238,0.0240152533998,0.0238554280781,0.0579620628947,0.0332103568017,0.00638330298669,-0.00100708717505,0.00358083448005,0.0167298722435,
Buyer Innovation Tendency - Statements that Best Describe You,0.0796595811499,0.0784274080238,-0.212866099244,0.0607141308869,0.053488522188,0.036911606916,0.0275401195161,0.00336686989116,1.0,0.306752091934,-0.0170054143412,0.13620603176,0.124481412502,0.129168865791,0.190267620125,0.170362611849,0.142827253983,0.095913580154,-0.0032568681799,-0.148145455739,0.00213409884142,0.0314785645837,0.046583106827,0.073294569421,0.0222844044976,0.165173383972,0.165799030528,-0.0578550641127,-0.142803071827,0.175902510145,-0.0572315202508,0.0217852187268,0.0601199137922,0.0157238301006,0.171818235071,0.21436048672,0.152869778379,0.123185391002,0.163878716677,0.176924289619,0.176261661437,0.0449346800765,0.0819559442822,0.0343180755144,0.147196000324,0.138621903866,0.110776583186,0.154130644709,0.138461138956,0.0802170607698,0.0793019226425,0.150576948745,0.0525123569999,0.0488124851918,0.0848294267972,0.0775836434852,0.0762467408898,0.114106934722,0.118003150982,0.111169760049,0.136497590899,0.105060559423,0.128365574227,0.115572989713,0.122400507627,0.131241556391,0.0587008592793,0.0671444878212,0.0627811254101,0.0714707295718,0.0670106392389,0.0443594232324,0.0853019143214,0.0599879492314,0.0801006122599,0.0658118002719,0.0830494305499,0.0863956878195,0.156022631902,0.0763690964973,0.034403395678,0.0784310453199,0.0694736860965,0.0653069156872,0.107169935705,0.11787731826,0.149875473117,0.0558757522552,0.0327216691598,0.062856530365,0.0493373619732,0.0281460134796,0.055075637886,0.0228682986771,0.0255722570705,0.0403653533832,0.0366659012393,0.215235191243,0.121203242862,0.0268910662093,-0.00120133942699,0.0695327377347,0.0594480613847,0.0459814553817,0.0344730263016,-0.00358927616827,0.0161807897549,0.0347307760975,0.0313201206584,0.0456383942075,0.0308250746857,0.0641474841639,0.079062329881,0.0973648608452,0.0953193060502,0.0806789721839,0.114445593451,0.0475666561197,0.0332149699817,0.066337245319,0.103237029191,0.176373269985,0.126468661842,0.0825560789355,0.224557561652,0.123193036236,0.0420357716564,0.00551161667641,0.00980312372656,0.0762527281539,0.0299571666661,-0.00362723788152,0.000615132234649,
I'm Curious and Open to Experiences,0.05812212043,0.00187652513277,-0.224603846407,0.0442558111888,0.0555651748986,0.0300860519005,-0.00132608858261,0.00305393045952,0.306752091934,1.0,0.221594151177,0.280946779666,0.294222092001,0.297144685594,0.30949146868,0.312308706128,0.307798034418,0.278570480631,0.175116458391,0.013992701379,0.153742344986,0.228463723289,0.188100035454,0.232893754129,0.153513959967,0.381056064821,0.338650508201,0.147734987406,0.028863730625,0.346143648397,0.129151495756,0.183580919941,0.221912696724,0.218736394736,0.355833273342,0.363167199315,0.367131620438,0.28125224732,0.347705816115,0.3454285422,0.326898176993,0.0419253264739,0.127081408417,0.092654443391,0.219345210201,0.202294030276,0.198737469706,0.230830804851,0.210756049153,0.147804081038,0.176297125135,0.239982683783,0.177661594025,0.174949680465,0.206040280546,0.194383254849,0.202889850555,0.215065239228,0.215667528259,0.209262051579,0.233649929466,0.201261617463,0.22886904582,0.224147514531,0.204832631835,0.231811602917,0.158645616182,0.161879370694,0.17987403987,0.193510915818,0.188206293581,0.167673975407,0.186780266505,0.178339280483,0.191448284081,0.177065410605,0.166355750385,0.202905437699,0.247826916155,0.190463149825,0.158680110156,0.205585121483,0.196085525967,0.168171910714,0.23349193046,0.224625903908,0.223216193117,0.180779181243,0.175717641147,0.174836694089,0.183862879935,0.16408011911,0.182675302052,0.161023215674,0.138764826271,0.135597751909,0.150315302626,0.273079401569,0.234075042006,0.161178542088,0.146637112464,0.204819186786,0.132081779391,0.133828514525,0.0677870977465,0.0872449556107,0.126665601385,0.150716565345,0.144067543289,0.155725951786,0.161068341439,0.198352733243,0.18923367186,0.216838236161,0.183057189426,0.185220740598,0.176692386197,0.146104053917,0.171385846591,0.174891860904,0.181215175509,0.242619062656,0.242654428269,0.199005328219,0.27255020535,0.191433563852,0.166488100525,0.0138412789872,0.0321186189158,0.0971853180203,0.0213825964978,0.00542553567422,0.00692449961389,
