,ID,Model Year of Purchase,Age Bracket,Total # Children In Household,Children Under 6,Children 6 To 12,Children 13 To 17,People 18 or Older,Buyer Innovation Tendency - Statements that Best Describe You,I'm Curious and Open to Experiences,Luxury is Not Important Unless it Has Purpose,Driving is one of my favorite things to do,"When I drive for fun, I mainly prefer to relax and listen to music or talk",I want vehicles that provide that open-air driving experience,I prefer a vehicle that has the capability to outperform others,I prefer vehicles that provide superior acceleration,I prefer vehicles that provide superior handling and cornering agility,I prefer a balance of comfort and performance,"I prefer vehicles that provide the softest, most comfortable ride quality",I just want the basics on my vehicle - no extras,"I prefer vehicles that project a tough, workman-like image",Vehicles are a 'tool' or a part of the 'gear' in an active outdoors lifestyle,I want to be able to tow heavy loads,I want to be able to traverse any terrain,I make all large vehicle decisions with my family's best interest in mind,My vehicle gives me a feeling of adventure,My vehicle is my sanctuary,Fuel economy is a leading consideration in my purchase decision,"I want a basic, no-frills vehicle that does the job",I see my vehicle as an extension of my personality,Price is most important to me when buying a new vehicle,I will easily switch brands for price or features,There are lots of different brands of vehicles that I would consider buying,I want a vehicle that provides the quietest interior,I want to look good when driving my vehicle,I want my vehicle to stand out in a crowd,I want the most versatility in my interior,I would pay significantly more for environmentally friendly vehicle,My vehicle is a reflection of my achievement,I chose my vehicle to reward myself for my hard work,The brand of vehicle I buy makes a statement about who I am,Your Involvement in Purchase Decision (%),How Likely to Recommend Own Vehicle Brand,How Likely to Recommend Purchase Dealership,Overall Exterior Styling,Appearance of Wheels & Rims,Appearance of Tires,Headlight Design,Overall Exterior Workmanship,Sound of Doors/Trunk/Hatch Shutting,Overall Driving Performance,Fun To Drive,Ground Clearance,Riding Comfort,Maneuverability,Road Holding Ability,Handling,Overall Power and Pickup,Acceleration From Stop,Passing Capability,Overall Interior Styling,Interior Colors,Overall Interior Workmanship,Quality of Interior Materials,Instrument Panel,Overall Interior Design,Ease of Front Seat Entry,Front Seat Roominess,Passenger Seating Capacity,Interior Storage,Interior Roominess,Cargo Capacity,Cupholders,Ease of Loading/Unloading Cargo,Comfort of Front Seat,Driver Seat Adjustability,Driver Armrests,Seating Versatility/Stowaway,Overall Performance of Sound System,Overall Quietness,CVT,Smoothness of Transmission,Overall Impression of Durability/Reliability,Overall Safety of the Vehicle,Overall Thoughtful Engineering,Placement/Ease of Reading and Using Controls,Electronic Displays of Information,Usefulness of Trunk/Cargo Area,"Flat Tire Preparedness (spare, run-flat, etc.)",Safety Features,Front Visibility,Rear Visibility,Braking,Overall Value for the Money,Price/Deal Offered,Future Trade-In or Resale Value,Warranty Coverage,Technical Innovations,Level of Standard Equipment,Fuel Economy/Mileage,Affordable to Buy,Overall Environmental Friendliness,Overall Brand Image,Reputation/Prestige of Manufacturer,Past Experience With Brand,Dealer Location,Dealer Reputation,Overall Experience with Selling Dealership,Overall Experience with Service Department,Advertising/Promotion,Advice of Friends/Relatives,Magazine/Newspaper/TV Reviews,Overall Seat Comfort,Overall Interior Versatility,Overall Image of the Vehicle,4WD/AWD Availability,Navigation System,Discount/Rebate/Incentive,Towing Capability,"Interest Rate, Credit Terms",Leasing Terms,Audiovisual System,Ease Of Customizing,Engine Performance,"Connectivity (WiFi, Bluetooth, etc.)","Interactive Information System (OnStar, mbrace, iDrive, etc.)",Driving Distance on Full Tank/Charge,Family needs changed,Previous vehicle was damaged or had to be replaced,Wanted a vehicle with a new image,Impulse - I just wanted a new vehicle,New model caught my attention,Previous vehicle too old/needed repairs,Changed/Moved to a new location
ID,1.0,-0.287774154052,-0.0148688304219,0.0157242232117,0.0298035018186,0.0180729855748,-0.019704866993,0.00912066197036,-0.120596476265,-0.0787791783275,0.053186456959,-0.062721872148,-0.00403795098811,-0.0404361891916,-0.148756380502,-0.123980552458,-0.103202163895,-0.0359012109613,0.12218324243,0.0857444636254,0.0139392634759,0.0151539944246,0.0225717453261,-0.0576394043135,0.0350620005573,-0.109711286354,-0.0826561972559,0.174411400759,0.103749390927,-0.0965185507819,0.167606886524,0.118672559726,0.0768812601909,0.0398686412187,-0.0715626484996,-0.121141351262,-0.0282786342952,-0.016454332375,-0.118742486187,-0.115089882534,-0.148739551556,-0.0172711688059,-0.03353587752,-0.0246261214478,-0.123100561166,-0.0977299494091,-0.0641374289916,-0.074573367877,-0.127156444686,-0.0572219985028,-0.0726050569898,-0.138066413027,-0.0114054518225,-0.00973494124689,-0.0419747568715,-0.0570816650569,-0.0611212277589,-0.0887364538507,-0.067848634913,-0.0692302378246,-0.0915761963018,-0.0639336405819,-0.105448933098,-0.0993461124539,-0.0443094190184,-0.0973450687476,0.010051413603,0.00362024011021,0.0311590793389,0.0219484691264,0.0220432825276,0.0293030338146,9.2058548688e-05,0.0236885690534,-0.0279757698061,-0.0293833784684,-0.0135623927868,0.0113889643282,-0.0460253159932,-0.0439163016478,0.0545540097249,-0.0212807809865,-0.0518852595901,-0.047220868797,-0.104474715619,-0.0516310704303,-0.0640525282691,0.0183711574848,0.0145967802298,-0.0373119855207,-0.0330696672255,-0.00679178879038,-0.0287532713023,0.120947397518,0.103466121215,0.0405666411722,-0.020984413901,-0.0810980282234,-0.0390993901058,0.105303481503,0.163282181822,0.0282570824867,-0.0549345486206,-0.0558518971231,0.00487320838829,0.0078936649849,0.00661919059716,-0.00196781059273,-0.0305737964819,0.0745257880741,0.0590076750445,0.0209505779227,-0.0226699290267,-0.0177949346527,-0.0443386757291,-0.0905016197766,-0.0962416884288,0.0963645693098,0.00909079684379,0.115238810024,0.00571718264096,-0.0509645825388,-0.0220154143635,-0.0527060343681,-0.0748927273508,-0.11318170007,0.0553254488952,0.046596084427,0.0256937420443,-0.0443331175315,-0.0113213094988,-0.0179526441621,-0.020829538507,-0.020829538507
Model Year of Purchase,-0.287774154052,1.0,0.0595587454272,-0.0421024756333,-0.0435509079273,-0.0354737458505,0.0047282663784,-0.00229118145401,0.0624433996779,0.012750808945,-0.020282296527,0.0131634506741,-0.0145028309832,0.00306143863666,0.0317259286421,0.0112058598984,0.0286131393309,0.00585138467286,-0.0735210857394,-0.0535073825997,-0.0344894577256,-0.0334660283539,-0.047346053872,-0.0338354272977,-0.0290847484697,0.00964073220184,0.0106800078003,-0.0738365183405,-0.06006202086,0.00531846656038,-0.102582601024,-0.104192693416,-0.0846984739604,-0.0211471882381,-0.00452604644932,0.0137469123569,-0.000412404266593,0.0157733652109,0.0203208746045,0.0133095108327,0.0378090197716,0.00997812794582,0.0275848503465,0.0361216511695,0.0355538497941,0.0215013855256,0.00633463766836,0.0369178578136,0.0515326033421,0.0209288788467,0.0254006221844,0.0453667195795,-0.00995826906189,-0.00593384446185,0.0213172109241,0.0258452000132,0.0250707689784,-0.00494545615976,-0.00539874365199,0.00316958548695,0.0295285844991,0.0146348935206,0.0419810849321,0.0371592336247,0.0168373725004,0.03606293293,-0.00177178106807,-0.00716984809166,-0.0414922264083,-0.0231239715645,-0.0339251313795,-0.0224218710446,-0.00681969288875,-0.0170576364927,0.00690684179122,0.01319011931,-0.00922666688771,-0.0133482014774,0.0107228773739,0.0204782302606,-0.0524635646771,9.65100500664e-05,0.0328579342548,0.0405693227312,0.0530576302856,0.0307452577909,0.039197156251,-0.0103349496649,-0.0103126897835,0.0323127232728,0.0248897113606,0.0178335163594,0.0124403262327,-0.0621997496907,-0.08543602552,-0.0251452366626,-0.00937090851927,0.0480716035861,0.0321797904265,-0.0429459547376,-0.0839607935572,-0.00786542441138,0.0292054200246,0.0350986940444,0.0257955594768,-0.00164955196496,0.00656983743057,0.0118246487038,0.0335390451469,-0.0614010771582,-0.0412056791134,-0.017481986927,-0.0013590557787,0.000244366236357,0.0180092700457,0.0374896059645,0.046676111371,-0.101762477217,-0.0333096418719,-0.103575946646,-0.0111150015316,0.0219621670923,0.0177365359122,-0.00285366802909,0.044852059506,0.0575253504106,-0.0288623808684,-0.0419473980735,-0.0367035605175,0.0198426536492,0.00361819804778,0.00165467748516,-0.0124716232308,-0.0124716232308
Age Bracket,-0.0148688304219,0.0595587454272,1.0,-0.367645388804,-0.334247896969,-0.22945528403,-0.110987400007,-0.0229678742548,-0.21387033926,-0.16712360345,-0.0255671694277,0.00802362057536,-0.130570203767,-0.127524207696,-0.109844611369,-0.0972885386396,0.0195232996063,0.0199502058201,-0.0533171542223,-0.105775354964,-0.0850163138833,-0.106598458189,-0.150908054225,-0.236374184076,-0.136013678309,-0.146463127654,-0.170369515976,-0.0443074801962,-0.10291048912,-0.181235467622,-0.143995145911,-0.153234475143,-0.134649099736,0.0916813393552,-0.192824314312,-0.133440511757,-0.0696890597559,-0.0663941068845,-0.201234642324,-0.185527689991,-0.141316235792,-0.0121167991216,0.00160200020098,0.0521792130286,-0.0849573599573,-0.0463392660755,-0.0532937607305,-0.0620616769743,0.0113334871605,0.158493398986,0.00314375196319,-0.000131276933044,0.00177686429652,0.0186581710062,0.054655783101,0.0838580545929,0.062313366333,0.0427448850958,-0.0148227126262,0.0724226035572,-0.0292809179897,-0.0214857442393,0.0322906291395,0.0319349505134,0.0877776938971,-5.26422006279e-05,0.140384737127,0.0950459336743,-0.114420665131,-0.0537171700329,-0.0613632940009,-0.0237849082151,0.0064146110013,0.0329928125986,0.0799108050573,0.131163938611,0.0809978772107,-0.00420685371237,-0.0217891748359,0.108637025543,0.0261732554877,0.049394527164,0.0357254796358,0.0272264072366,0.0607762500744,0.0751589754645,0.0405274349002,-0.00533261107007,-0.0406330569467,0.0331716115832,0.0751164653416,0.0708958481121,0.0639717004401,-0.00440112786973,-0.0153712338721,0.0200877454587,0.0827917053209,-0.0138333769835,0.0258969482219,-0.0217861725077,-0.0430160057228,0.0222333159305,0.0125767884236,0.0352795178233,0.0489292752696,0.0638212180085,0.104038288671,0.0649802032935,0.0826882012562,-0.0821523308341,-0.187602827342,-0.091578741307,0.0586174118145,0.0166543762792,-0.0184709061375,-0.0799207205697,0.0909148876966,-0.0600737074237,-0.0715261396696,-0.169116881974,-0.180584322058,-0.109367024953,-0.192211147071,0.0322231121896,-0.0669423610115,0.0221468168888,-0.0294798521458,-0.165702112172,-0.0832333615919,-0.0337065997879,-0.0305160873335,-0.0154545250306,-0.00835013691044,-0.00835013691044
Total # Children In Household,0.0157242232117,-0.0421024756333,-0.367645388804,1.0,0.521814110555,0.716717478866,0.575884263145,0.00770921075252,0.107438371515,0.0537190119754,0.0059504499696,-0.00904047191975,0.0184487657058,0.038579998429,0.0688381488997,0.0543051031734,-0.0254938881638,-0.0254103107024,-0.00910971546255,0.0421264298477,0.0590473107447,0.0483052645191,0.102043128914,0.101916745173,0.209411904404,0.0330467082108,0.0459143378643,-0.020517909423,0.0457778514024,0.0537182854522,0.0323349782891,0.0785711182184,0.0891728509438,-0.0373817689955,0.0693485134482,0.0555082351563,0.0487707276307,0.0271710409509,0.0741277334195,0.0432319806394,0.0557954250771,-0.0192574882189,-0.0289779793249,-0.0176432695513,0.00939621145831,0.0326621255649,0.0355933623983,0.0116939662012,-0.0203097657512,-0.0553068717382,-0.0425355333055,-0.0384557960511,-0.0525937681878,-0.0368628251585,-0.0563864893214,-0.0601956917087,-0.0632528302998,-0.029237524926,-0.00249208424649,-0.0453603616643,0.024412601066,0.00168965671337,-0.0137514498965,-0.0137199336416,-0.0289289591093,-0.0016776679856,-0.090370471341,-0.0639117484704,0.190606057552,0.0472926463501,0.0851748286649,0.0201166233334,0.00199846785269,-0.0108793367344,-0.0678369227358,-0.0847048996515,-0.0460729597121,0.0298101826828,-0.0219276386697,-0.0577421469263,-0.0242285252624,-0.0393648670529,-0.0316678594505,-0.00177217557587,-0.0346779291003,-0.0553058446771,-0.0300917672173,0.00268068678579,-0.0112123259886,-0.00393104950022,-0.0599116375936,-0.051710206631,-0.0567559565546,-0.0363922770169,-0.0268465720433,-0.0297894262535,-0.0557692781241,0.0119033829945,-0.0137521559131,-0.0306180157293,-0.032143312579,-0.0447185755143,-0.0102251634915,-0.0235861347809,-0.023993398763,-0.0228078008436,-0.0577211696112,-0.0331160500547,-0.0487234532256,0.035585707801,0.0551456540579,0.0420723905757,-0.0593936776307,0.000514472486152,-0.0145848522515,0.0255554822774,-0.0272873288474,0.00435770429266,0.0570724467095,0.0520343398399,0.101056333442,0.0292856061322,0.0861162922413,-0.0335743392168,0.0106640706666,0.000329335385415,-0.0313762772588,0.191059227357,0.0184792903374,-0.00928455962646,-0.000994142411452,0.0070798972278,0.0117285470075,0.0117285470075
Children Under 6,0.0298035018186,-0.0435509079273,-0.334247896969,0.521814110555,1.0,0.0920003798359,-0.0508127479733,0.00551546248927,0.0815081375386,0.0437657548977,0.0267109981533,0.00968156133538,0.00116007442911,0.0185899546436,0.0445603802282,0.0261395723777,-0.0134189033059,-0.0202338075606,-0.0066260346663,0.0505061716693,0.0566278178564,0.0465939232645,0.0862302476707,0.0841246087159,0.149286054548,0.0271150117051,0.0282309798538,-0.00746280699878,0.0522745415686,0.0174323855345,0.0335887588942,0.0715050998856,0.0697716283454,-0.035392431435,0.0487999959024,0.0315898441713,0.0383272257511,0.0256978996991,0.0651383388144,0.0352832124504,0.0400541288164,-0.0208054354026,-0.0237903127789,-0.0207330946562,-0.010680277726,0.00629187038895,0.00381140889326,-0.000997127157121,-0.0372221828679,-0.0588657366564,-0.0463381265359,-0.0526030373618,-0.0472224793024,-0.0440783539109,-0.0564346214647,-0.0553271723325,-0.0560276788822,-0.048253296516,-0.0259065499047,-0.0510307607356,-0.00428782325447,-0.0208557374285,-0.0324780500517,-0.03026217773,-0.0361307498632,-0.0202512415296,-0.0749424443646,-0.0593631395789,0.123130283279,0.0548972852819,0.065049897648,0.0413787528304,-0.028457853445,0.0179296932588,-0.0709183640548,-0.0797009396724,-0.0432145756845,0.0199449511254,-0.0444275855366,-0.0575564908227,-0.0308273066359,-0.041232007118,-0.034123984263,0.000230581884141,-0.030307379871,-0.0572857871483,-0.0288473283576,0.0250445276005,-0.0126133127768,-0.00326582735435,-0.0475262627894,-0.0439589198367,-0.0351445832424,-0.0144119852956,-0.0202986141833,-0.0140664255874,-0.0528711532738,-0.000576163138477,-0.0232895773581,-0.0296138483357,-0.0207817671587,-0.0321361749029,-0.0293179609228,-0.0330387217014,-0.0134572839726,-0.0456980799152,-0.0561312232631,-0.0347990306204,-0.0497261943571,0.0316984527811,0.0467534705685,0.034141409592,-0.0620253997409,-0.00369805341983,-0.0247771878449,0.0143046995038,-0.0349004461497,0.0136704705638,0.0331152853515,0.0524859021849,0.0800979412526,0.0165922355123,0.0617353941166,-0.0381181589611,-0.0148973273728,-0.0134363293816,-0.0186818653689,0.244712555785,0.0185781999358,-0.0166084597425,0.00181419132666,0.0231342116262,0.0134184984745,0.0134184984745
Children 6 To 12,0.0180729855748,-0.0354737458505,-0.22945528403,0.716717478866,0.0920003798359,1.0,0.145288227204,-0.0239255282712,0.0732868730264,0.0324487241954,0.00278046810801,-0.0108387646011,0.012762526927,0.0248606255163,0.038705409665,0.0314875552752,-0.020225751406,-0.0283864284853,-0.00920207971452,0.0239477652021,0.0408633078089,0.0342212818834,0.0680503425208,0.0644895219428,0.145429198718,0.0175683349242,0.0269722788507,-0.010136629687,0.0338527009923,0.0310820479672,0.022623916073,0.0476459482907,0.0531997810684,-0.0251379010096,0.0430631118013,0.034129363819,0.0279556490507,0.0233750086569,0.042529239627,0.0291100841198,0.0319202322522,-0.0142502464117,-0.02428537286,-0.0168499045943,-0.000125599889888,0.0200397222112,0.02638004131,0.0114576959963,-0.012577136272,-0.0367953242905,-0.0332563879797,-0.0236151331469,-0.0278161072102,-0.0275905116474,-0.0428763523782,-0.0506590259175,-0.0525590184454,-0.0172251723287,-0.00335549789119,-0.0278889416855,0.014381360235,0.00311162098275,-0.0128574722799,-0.0121510701599,-0.0253880784241,-0.00531488303075,-0.0702956312629,-0.0544695730304,0.127542631684,0.0236169259066,0.051605424798,0.00232353379638,0.00126852916454,-0.0202106758277,-0.0471899817222,-0.0598710932285,-0.0389932770367,0.015318782099,-0.0162057001311,-0.0446312242609,-0.0141451808338,-0.0335286443066,-0.029576138464,-0.00780330018027,-0.0296311995616,-0.040221524534,-0.0214688010307,-0.00549789057619,-0.00967317016524,-0.0119831654834,-0.0489297255803,-0.0449280997213,-0.0504036817328,-0.0360761095016,-0.029423088701,-0.0244491582739,-0.0469216124458,0.0031415377885,-0.0115427365526,-0.0167364866207,-0.0226452985675,-0.031793362716,-0.00442767072287,-0.0181025252547,-0.0150443793275,-0.00751880581836,-0.0407894206547,-0.0313228339985,-0.0361988677981,0.0246284087603,0.0291312587036,0.0290694104578,-0.0452673149725,-0.00653083384893,-0.00959890004413,0.00944894935184,-0.0227116365212,-0.00424734976781,0.0438122602529,0.030236352488,0.0660114912368,0.0244618202415,0.0554839612406,-0.0228677615149,0.00810765166602,-0.00191821693642,-0.0248653709733,0.0697510930694,0.0119322365125,-0.00897590715324,0.00340049370769,-0.00295922578057,0.0105064069425,0.0105064069425
Children 13 To 17,-0.019704866993,0.0047282663784,-0.110987400007,0.575884263145,-0.0508127479733,0.145288227204,1.0,0.0536539025384,0.0433778774444,0.0141838982236,-0.0201572054968,-0.0195772817897,0.0142008188607,0.0213181132247,0.0385304257519,0.0349560507078,-0.016792788614,-0.00599022413778,-0.00473858568029,0.000919242364119,0.00854302478745,0.00307448039665,0.0303723314316,0.0339368919845,0.0798420788039,0.0103520805753,0.0255334450141,-0.0224835517388,-0.00525395453254,0.0435189679745,-0.000235876915697,0.0206998915166,0.0372115568891,-0.0147102885368,0.030356711067,0.0298389991927,0.0185210070435,-0.00347736961902,0.0257751401728,0.00956201167864,0.0273456399954,0.00117213605796,-0.0156634865213,-0.0027639860515,0.0195679032225,0.0294270844932,0.0286193778843,0.00666529593663,0.00365824803749,-0.0074216904127,-0.00909396340938,-0.000509761054749,-0.0269153957108,-0.00331391777163,-0.0127374392972,-0.00884724945818,-0.0155404602768,0.00530280868678,0.0171572850037,-0.00904274600561,0.0270546225207,0.012560435515,0.0134752266391,0.00754937881302,0.00183772404034,0.0157185330911,-0.0255045074519,-0.00704625008087,0.0862902755421,0.000624710301299,0.031969499795,-0.01279307955,0.0262641316033,-0.0201733866372,-0.0132159178746,-0.0203918524078,-0.00657390608068,0.0149571522811,0.0131269004977,-0.00762117845389,-0.00403316328656,-0.00108344246635,-0.00388084168323,-0.00350627271971,-0.00881255184235,-0.0110829579755,-0.00893248737436,-0.0185871043914,-0.00163140607359,-0.00229312634468,-0.0192805561803,-0.0136093281342,-0.0230413021975,-0.0232039871862,-0.00390133657535,-0.0204994896983,-0.00639558920544,0.0117646312735,0.00395364468967,-0.0177546953384,-0.0200413878439,-0.0203050152563,0.00650530570522,0.00271072033337,-0.0179422151762,0.00511491191748,-0.0117541837921,9.78733523525e-05,-0.00612369633891,0.00483590315449,0.0221832832197,0.011534654919,-0.010777683553,0.00347939959501,-0.000729188207073,0.0203395589183,0.0039395978739,-0.00521322850158,0.022265482834,0.00995796394779,0.0355260348188,0.0056006143389,0.0373487980757,-0.00933370126071,0.0201985758864,0.0111592684279,-0.020130210822,0.0423392840583,0.00271423341226,0.00822647518993,-0.00759946006997,-0.00566204465558,-0.00293226619172,-0.00293226619172
People 18 or Older,0.00912066197036,-0.00229118145401,-0.0229678742548,0.00770921075252,0.00551546248927,-0.0239255282712,0.0536539025384,1.0,0.0066144244699,-0.0155162832504,-0.00354214298949,0.00707635950382,0.0172628553862,-0.00820660486172,-0.00940387701973,-0.0121685086926,-0.00680373208692,-0.0105623214279,-0.00535159909915,0.0129034693692,0.0205873535617,0.0171122236165,0.0197269121273,0.0301297333528,0.0766201635827,0.00373050909209,0.0101339353067,0.00159734535083,0.0158075380063,-0.00296149281229,0.0149950260551,0.0139596817866,0.00846680210314,-0.00857318938328,-0.00311637193596,0.00392362588735,0.00377521194062,-0.0259177651817,-0.00757115390009,-0.0153540572335,-0.0207509921747,-0.0407699499229,0.0221634482774,0.0215140881556,-0.00161816837133,0.011722959744,0.0141626186185,0.0132596288898,0.00112567466472,0.00659405552229,-0.00151525699502,-0.0093382601674,-0.00405654169461,0.00113120231217,-0.00512411493068,-0.00404581479277,-0.0116871612254,-0.00744914184199,-0.00501607085791,-0.014971995187,0.00502853152432,-0.0025288898059,0.00443490949837,0.00134869394128,-0.00399472704003,0.000135638708035,0.00453076560266,0.0114797028185,0.0352651944004,-0.00895465144569,0.0245674972712,-0.0115334325211,0.00285690760764,-0.00419068257043,0.0122051936985,0.00732081788384,-0.00367906400597,0.00535622141548,-0.0056706329982,-0.00406070384301,-0.00419610869771,0.00623661456545,0.00787064301256,-0.00367381499296,0.00813388126348,0.0045627497762,-0.00496062782187,-0.00865932534084,0.0019249065668,-0.00248711198109,-0.00305201805389,-0.012234015167,-0.00556998858646,0.0155266085687,0.0225599776364,-0.00406889193753,0.00822176369931,-0.0173396424875,-0.000509271295844,0.00309051617439,0.0161242470138,-0.012784454489,-0.00370594244448,-0.00694907463622,0.00868112980633,-0.00467970844666,0.0115935229618,0.0151021549845,-0.00377295438902,0.0208637236851,-0.00756732818066,0.0018246178436,0.0114051096613,0.00507706864944,-0.00310357897613,0.0191588950701,-0.00722994490203,0.0222327157348,0.0133798292272,0.035102508004,0.0106976878257,-0.00876336354079,0.00370497497217,0.00403842698116,-0.00949958942708,-0.00420152012946,-0.00333708694006,0.043939541499,0.0127436119996,0.0065998431946,0.00289878841319,-0.00275693285041,-0.00927990776602,-0.00927990776602
Buyer Innovation Tendency - Statements that Best Describe You,-0.120596476265,0.0624433996779,-0.21387033926,0.107438371515,0.0815081375386,0.0732868730264,0.0433778774444,0.0066144244699,1.0,0.296732541679,-0.0786950451867,0.147627887573,0.103524078571,0.124753922354,0.210220525752,0.184652018473,0.129863642343,0.084691794409,-0.00453193716315,-0.131677144409,-0.0122160971509,0.00513025461289,0.0392294931756,0.0953803870362,0.0399752903427,0.156865692514,0.163501900773,-0.0801833495609,-0.137088262408,0.186606515703,-0.0654758784903,0.00189086991789,0.0466850759574,0.0391392662238,0.199434097946,0.235404031354,0.158186133821,0.0959116759221,0.197470480941,0.191476325244,0.197673286275,0.0538080287909,0.0876916059889,0.037778512726,0.170020006161,0.149810594095,0.119823673788,0.157561790064,0.153085371644,0.0654396816729,0.0765601000943,0.143731157842,0.0364784896983,0.0596975321708,0.0466663036404,0.0513673939552,0.0590616373998,0.0884397882696,0.110622088549,0.0944635889355,0.161183529548,0.107501904158,0.138252913318,0.12435446327,0.0996868005878,0.153118258385,0.0265616139205,0.0459998724166,0.0726410363707,0.053662952006,0.0674451588865,0.0380517552004,0.0576296749444,0.0323328751994,0.0701455066341,0.0534958155122,0.0551248582224,0.0587150493613,0.13780522877,0.0863081458752,0.0260364851409,0.0659512509398,0.067656059048,0.0503113688825,0.103524599762,0.102096615747,0.155820517039,0.0477296690795,0.0240383062443,0.0558262756375,0.0322658723709,0.00876790083551,0.0386660428491,-0.00189663048174,-0.00193964433554,0.0243964974121,0.0203153620488,0.232082800502,0.121750723038,-0.00303544426612,-0.0328992041402,0.0345392653186,0.098857827693,0.0748882470366,0.0385044826061,0.0117694271117,0.0173349592658,0.0311202115093,0.031024581374,0.0376440985858,0.0261160271509,0.0739989438216,0.0670408927258,0.0850280334198,0.117143373482,0.0744930149033,0.142370519726,0.0146728356456,0.0491498916887,0.0382489578722,0.10238102572,0.163101123355,0.121291286618,0.0690382645365,0.208885783755,0.142053081002,0.0101652107037,0.031768902199,0.0171683148469,0.0766008385627,0.0153130887529,0.00126795814525,0.00576899867154,0.00576899867154
I'm Curious and Open to Experiences,-0.0787791783275,0.012750808945,-0.16712360345,0.0537190119754,0.0437657548977,0.0324487241954,0.0141838982236,-0.0155162832504,0.296732541679,1.0,0.143703203222,0.245763012547,0.260430245429,0.290764056485,0.313920110954,0.301577309734,0.273503486266,0.259979953168,0.140538818304,0.0138957788497,0.144575326049,0.209349786457,0.170644463959,0.244596677843,0.173435936475,0.376610402279,0.309735548522,0.0946776272911,0.0202630145004,0.326105618043,0.0826393314674,0.136740396442,0.171353382364,0.214712882675,0.324105667833,0.344030362256,0.347702686103,0.242402469431,0.334640778341,0.322552141003,0.308845161917,0.0501368501417,0.111725286541,0.0729947315014,0.212189177831,0.195143468134,0.183166368175,0.211847218024,0.21167166962,0.123969877342,0.166352657842,0.215340938212,0.158722140773,0.163555500263,0.164722742364,0.166860964571,0.17210540221,0.172483025553,0.182275285934,0.178833951849,0.220944582206,0.184313847244,0.211661405936,0.215129041851,0.186312610915,0.220694773729,0.130640218855,0.146361426233,0.169909580247,0.168536788022,0.174056232866,0.154954995832,0.148064538621,0.155737377789,0.18936282697,0.165582583696,0.159295363072,0.183744983312,0.228532300426,0.175032595785,0.125924369932,0.176719205417,0.198705236066,0.159405861301,0.228302156517,0.205695568745,0.226446103415,0.170204760402,0.159626585615,0.159935377463,0.155755723528,0.140077304993,0.162908259765,0.145801421752,0.121140580685,0.124910062127,0.132701507868,0.273634196772,0.223108229381,0.134402432377,0.110320017504,0.177934220445,0.179991483016,0.165950110981,0.0844299656134,0.095349311816,0.119462349086,0.130547340852,0.132133826224,0.131272811157,0.146310285056,0.17024800457,0.18068474677,0.209984290952,0.200547176279,0.158862690433,0.173176228906,0.111886793688,0.166696545455,0.125311874577,0.145840583616,0.219766397167,0.206799000444,0.182568714543,0.239045998624,0.2013944821,0.144138684555,0.0280221512856,0.0256945460375,0.0800920087371,0.0119137298001,0.00966048093556,0.00042154473115,0.00042154473115
